storeNumber,storeName,telephone,email,address,city,state_abbr,state,postal,latitude,longitude
R072,University Village,(206) 892-0433,universityvillage@apple.com,2651 NE 49th St,Seattle,WA,Washington,98105,47.6639,-122.2984
R360,University Park Mall,(574) 277-9500,universityparkmall@apple.com,6501 North Grape Road,Mishawaka,IN,Indiana,46545,41.71847,-86.19101
R024,Wellington Green,(561) 273-2940,wellingtongreen@apple.com,10300 W. Forest Hill Blvd,Wellington,FL,Florida,33414,26.647028,-80.208856
R345,Promenade Temecula,(951) 326-2400,temecula@apple.com,40764 Winchester Road,Temecula,CA,California,92591,33.52375718689,-117.153113410091
R164,Memorial City,(713) 986-2476,memorialcity@apple.com,303 Memorial City,Houston,TX,Texas,77024,29.78102,-95.53893
R257,Bayshore,(414) 977-3410,bayshore@apple.com,5715 N Centerpark Way,Glendale,WI,Wisconsin,53217,43.121566,-87.915186
R060,Roosevelt Field,(516) 739-8540,rooseveltfield@apple.com,630 Old Country Road,Garden City,NY,New York,11530,40.73797420994,-73.612307993214
R420,River Park Square,(509) 458-8080,riverparksquare@apple.com,710 West Main Avenue,Spokane,WA,Washington,99201,47.658889,-117.4225
R003,Bellevue Square,(425) 519-0080,bellevuesquare@apple.com,213 Bellevue Square,Bellevue,WA,Washington,98004,47.616327,-122.2042
R287,Georgetown,(202) 572-1460,georgetown@apple.com,1229 Wisconsin Avenue NW,Washington,DC,District of Columbia,20007,38.905922540478,-77.062310166353
R071,Corte Madera,(415) 413-9120,cortemadera@apple.com,1520 Redwood Highway,Corte Madera,CA,California,94925,37.928465,-122.514284
R051,Third Street Promenade,(310) 633-2670,thirdstreetpromenade@apple.com,1415 Third Street Promenade,Santa Monica,CA,California,90401,34.01532813854,-118.495429158211
R101,Stoneridge Mall,(925) 398-1962,stoneridgemall@apple.com,One Stoneridge Mall,Pleasanton,CA,California,94588,37.69525,-121.92867
R614,Lynnhaven Mall,(757) 306-2480,lynnhavenmall@apple.com,701 Lynnhaven Parkway,Virginia Beach,VA,Virginia,23452,36.816619,-76.071055
R123,Green Hills,(615) 514-2430,greenhills@apple.com,2126 Abbott Martin Road,Nashville,TN,Tennessee,37215,36.10704,-86.816382
R210,Kahala,(808) 738-4400,kahala@apple.com,4211 Waialae Avenue,Honolulu,HI,Hawaii,96816,21.277081111189,-157.78698547723
R417,Polaris Fashion Place,(614) 987-1430,polarisfashionplace@apple.com,1500 Polaris Parkway,Columbus,OH,Ohio,43240,40.14572,-82.98037
R067,Menlo Park,(732) 623-7700,menlopark@apple.com,55 Parsonage Road,Edison,NJ,New Jersey,08837,40.549111,-74.335811
R203,West Town Mall,(865) 824-2507,westtownmall@apple.com,7600 Kingston Pike,Knoxville,TN,Tennessee,37919,35.924375,-84.03725
R040,Fashion Valley,(619) 682-3477,fashionvalley@apple.com,7007 Friars Road,San Diego,CA,California,92108,32.768465871641,-117.165832324545
R166,Suburban Square,(610) 726-9400,suburbansquare@apple.com,61 St. James Place,Ardmore,PA,Pennsylvania,19003,40.00884,-75.28786
R142,Annapolis,(410) 972-3290,annapolis@apple.com,1735 Annapolis Mall,Annapolis,MD,Maryland,21401,38.990536,-76.54414
R077,Pioneer Place,(503) 265-2010,pioneerplace@apple.com,450 SW Yamhill Street,Portland,OR,Oregon,97204,45.5178302,-122.6775182
R261,Ridge Hill,(914) 620-0965,ridgehill@apple.com,143 Market Street,Yonkers,NY,New York,10710,40.96373,-73.85643
R325,Willowbrook,(973) 339-2800,willowbrook@apple.com,1400 Willowbrook Mall,Wayne,NJ,New Jersey,07470,40.88944,-74.25861
R097,Country Club Plaza,(816) 448-9200,countryclubplaza@apple.com,227 Nichols Road,Kansas City,MO,Missouri,64112,39.0413,-94.590172
R025,Westfarms,(860) 221-0800,westfarms@apple.com,500 Westfarms Mall,Farmington,CT,Connecticut,06032,41.722758026916,-72.764513057434
R103,Rockaway,(973) 384-9220,rockaway@apple.com,301 Mt. Hope Avenue,Rockaway,NJ,New Jersey,07866,40.906615,-74.553704
R582,Upper East Side,(646) 343-2700,uppereastside@apple.com,940 Madison Avenue,New York,NY,New York,10021,40.773584,-73.964542
R623,Brickell City Centre,(786) 843-4350,brickellcitycentre@apple.com,701 S. Miami Avenue,Miami,FL,Florida,33130,25.7667,-80.1935
R291,Altamonte,(407) 551-0404,altamonte@apple.com,451 E Altamonte Drive,Altamonte Springs,FL,Florida,32701,28.66665,-81.37696
R236,Fashion Fair,(559) 244-3400,fashionfair@apple.com,645 E. Shaw Avenue,Fresno,CA,California,93710,36.80674,-119.77553
R117,Garden State Plaza,(201) 975-9500,gardenstateplaza@apple.com,1 Garden State Plaza,Paramus,NJ,New Jersey,07652,40.918482082021,-74.075630100242
R168,Columbia,(410) 423-1801,columbia@apple.com,10300 Little Patuxent Parkway,Columbia,MD,Maryland,21044,39.216,-76.85995
R110,South Shore,(781) 817-1270,southshore@apple.com,250 Granite Street,Braintree,MA,Massachusetts,02184,42.2221,-71.02337
R230,Briarwood,(734) 780-2471,briarwood@apple.com,100 Briarwood Circle,Ann Arbor,MI,Michigan,48108,42.240454559898,-83.746988527251
R093,Danbury Fair Mall,(203) 546-6340,danburyfairmall@apple.com,Seven Backus Avenue,Danbury,CT,Connecticut,06810,41.3806,-73.48015
R281,Lehigh Valley,(610) 266-4860,lehighvalley@apple.com,250 Lehigh Valley Mall,Whitehall,PA,Pennsylvania,18052,40.62926,-75.48147
R044,Santa Rosa Plaza,(707) 508-3500,santarosaplaza@apple.com,1071 Santa Rosa Plaza,Santa Rosa,CA,California,95401,38.438439807966,-122.716418643098
R446,New Haven,(203) 498-8950,newhaven@apple.com,65 Broadway,New Haven,CT,Connecticut,06511,41.3119,-72.93093
R001,Glendale Galleria,(818) 502-8310,glendalegalleria@apple.com,2126 Glendale Galleria,Glendale,CA,California,91210,34.14533,-118.25845
R147,South Hills Village,(412) 308-1970,southhillsvillage@apple.com,301 South Hills Village,Pittsburgh,PA,Pennsylvania,15241,40.3427,-80.05589
R047,Cherry Creek,(303) 583-7310,cherrycreek@apple.com,3000 E 1st Avenue,Denver,CO,Colorado,80206,39.717437,-104.95492
R155,Burlington,(781) 653-0970,burlington@apple.com,75 Middlesex Turnpike,Burlington,MA,Massachusetts,01803,42.48275,-71.21398
R283,Leawood,(913) 234-9800,leawood@apple.com,4529 West 119th Street,Leawood,KS,Kansas,66209,38.91131,-94.6378
R654,World Trade Center,(646) 802-3800,worldtradecenter@apple.com,185 Greenwich Street,New York,NY,New York,10007,40.711721,-74.011154
R096,Shadyside,(412) 316-2460,shadyside@apple.com,5508 Walnut Street,Pittsburgh,PA,Pennsylvania,15232,40.451043663929,-79.933330498962
R824,Apple Park Visitor Center,(408) 961-1560,appleparkvisitorcenter@apple.com,10600 North Tantau Avenue,Cupertino,CA,California,95014,37.33289,-122.0052
R086,La Encantada,(520) 209-7440,laencantada@apple.com,2905 East Skyline Drive,Tucson,AZ,Arizona,85718,32.32497,-110.92985
R650,Summerlin,(702) 677-3940,summerlin@apple.com,1985 Festival Plaza Drive,Las Vegas,NV,Nevada,89135,36.15009,-115.3334
R753,The Mall at Bay Plaza,(718) 530-7760,mallatbayplaza@apple.com,200 Baychester Avenue,Bronx,NY,New York,10475,40.8638,-73.8269
R011,MarketStreet,(978) 326-0970,marketstreet@apple.com,1220 Market Street,Lynnfield,MA,Massachusetts,01940,42.515590675328,-71.034246957778
R106,Southcenter,(206) 288-4400,southcenter@apple.com,801 Southcenter Mall,Tukwila,WA,Washington,98188,47.45935,-122.258
R304,Park City,(717) 295-8800,parkcity@apple.com,541 Park City Center,Lancaster,PA,Pennsylvania,17601,40.066621516531,-76.339304237834
R312,Dadeland,(305) 341-9812,dadeland@apple.com,7535 Dadeland Mall,Miami,FL,Florida,33156,25.689879,-80.313707
R235,Lakeside Shopping Center,(504) 830-1400,lakesideshoppingcenter@apple.com,3301 Veterans Memorial Blvd,Metairie,LA,Louisiana,70002,30.004561,-90.157228
R049,Southpoint,(919) 474-6940,southpoint@apple.com,8030 Renaissance Parkway,Durham,NC,North Carolina,27713,35.905106,-78.943003
R267,SanTan Village,(480) 366-8477,santanvillage@apple.com,2218 E. Williams Field Road,Gilbert,AZ,Arizona,85295,33.30879,-111.74271
R746,Galleria Dallas,(972) 942-7210,galleriadallas@apple.com,13350 Dallas Parkway,Dallas,TX,Texas,75240,32.930392379315,-96.819404255932
R305,Del Monte,(831) 647-4480,delmonte@apple.com,240 Del Monte Center,Monterey,CA,California,93940,36.584103459981,-121.897348157823
R149,Boylston Street,(617) 385-9400,boylstonstreet@apple.com,815 Boylston Street,Boston,MA,Massachusetts,02116,42.348986511488,-71.082484013793
R026,Chandler Fashion Center,(480) 636-3900,chandlerfashioncenter@apple.com,3111 W Chandler Boulevard,Chandler,AZ,Arizona,85226,33.302255,-111.89969
R127,The Gardens Mall,(561) 273-2160,thegardensmall@apple.com,3101 PGA Boulevard,Palm Beach Gardens,FL,Florida,33410,26.84865,-80.0848
R298,Roseville,(916) 872-2506,roseville@apple.com,1151 Galleria Boulevard,Roseville,CA,California,95678,38.773042110625,-121.26993510375
R240,Los Gatos,(408) 399-3880,losgatos@apple.com,23 N. Santa Cruz Avenue,Los Gatos,CA,California,95030,37.223389725861,-121.983768164813
R054,Southdale,(952) 656-0140,southdale@apple.com,1560 Southdale Center,Edina,MN,Minnesota,55435,44.880785,-93.324933
R107,Syracuse,(315) 233-5920,syracuse@apple.com,1 Destiny USA Drive,Syracuse,NY,New York,13204,43.069518399488,-76.172917443595
R189,Topanga,(818) 577-1800,topanga@apple.com,6600 Topanga Canyon Boulevard,Canoga Park,CA,California,91303,34.190237371111,-118.603103308888
R321,Willowbrook Mall,(281) 571-4400,willowbrookmall@apple.com,2000 Willowbrook Drive,Houston,TX,Texas,77070,29.960546845453,-95.539229502601
R259,Mall of Georgia,(678) 288-3400,mallofgeorgia@apple.com,3333 Buford Drive,Buford,GA,Georgia,30519,34.06567,-83.98333
R192,Crocker Park,(440) 788-2800,crockerpark@apple.com,267 Crocker Park Boulevard,Westlake,OH,Ohio,44145,41.45909,-81.95301
R154,The Oaks,(805) 277-5040,theoaks@apple.com,432 West Hillcrest Drive,Thousand Oaks,CA,California,91360,34.18405,-118.88763
R013,Tice's Corner,(201) 474-4180,ticescorner@apple.com,441 Chestnut Ridge Road,Woodcliff Lake,NJ,New Jersey,07677,41.04183,-74.074864
R122,Manhattan Village,(310) 421-3720,manhattanvillage@apple.com,3200 Sepulveda Boulevard,Manhattan Beach,CA,California,90266,33.89909,-118.393209
R202,SoNo Collection,(203) 658-1801,sonocollection@apple.com,100 N. Water Street,Norwalk,CT,Connecticut,06854,41.1058,-73.4185
R033,Stonestown,(415) 571-2780,stonestown@apple.com,3251 20th Avenue,San Francisco,CA,California,94132,37.72721492,-122.4769552
R014,Broadway Plaza,(925) 949-5463,broadwayplaza@apple.com,1200 S. Main Street,Walnut Creek,CA,California,94596,37.896525,-122.059297
R109,Jordan Creek,(515) 440-9900,jordancreek@apple.com,101 Jordan Creek Parkway,West Des Moines,IA,Iowa,50266,41.570044,-93.803773
R102,Christiana Mall,(302) 533-3514,christianamall@apple.com,125 Christiana Mall,Newark,DE,Delaware,19702,39.679231,-75.653211
R599,Station Park,(801) 218-9501,stationpark@apple.com,148 N. East Promontory,Farmington,UT,Utah,84025,40.983221,-111.906456
R318,Charleston,(843) 727-0400,applecharleston@apple.com,301 King Street,Charleston,SC,South Carolina,29401,32.783361441121,-79.934934815863
R089,Old Orchard,(847) 983-9230,oldorchard@apple.com,4999 Old Orchard Center,Skokie,IL,Illinois,60077,42.057204,-87.749956
R720,Tower Theatre,(213) 655-1200,towertheatre@apple.com,802 S Broadway,Los Angeles,CA,California,90014,34.0435491,-118.2546643
R289,Brandon,(813) 413-3400,brandontowncenter@apple.com,459 Brandon Town Center Drive,Brandon,FL,Florida,33511,27.9328,-82.3264
R143,Florida Mall,(407) 563-1020,floridamall@apple.com,8001 S. Orange Blossom Trail,Orlando,FL,Florida,32809,28.445141,-81.394177
R219,Town Square,(702) 221-8826,townsquare@apple.com,6671 Las Vegas Blvd South,Las Vegas,NV,Nevada,89119,36.06767,-115.17607
R629,Trumbull,(203) 666-3928,trumbullmall@apple.com,5065 Main Street,Trumbull,CT,Connecticut,06611,41.229466,-73.225779
R050,The Grove,(323) 617-9800,thegrove@apple.com,189 The Grove Drive,Los Angeles,CA,California,90036,34.07143,-118.357469
R114,Saint Louis Galleria,(314) 290-0400,saintlouisgalleria@apple.com,2440 Saint Louis Galleria,Saint Louis,MO,Missouri,63117,38.63527778,-90.3483753048663
R307,Maine Mall,(207) 771-9400,mainemall@apple.com,364 Maine Mall Road,South Portland,ME,Maine,04106,43.633574,-70.334645
R007,Mall of America,(952) 229-5630,mallofamerica@apple.com,114 West Market,Bloomington,MN,Minnesota,55425,44.8543,-93.244386
R216,Domain NORTHSIDE,(512) 691-4800,appledomainnorthside@apple.com,3121 Palm Way,Austin,TX,Texas,78758,30.402708,-97.721954
R133,Downtown Nashville,(615) 9861140,downtownnashville@apple.com,500 Broadway,Nashville,TN,Tennessee,37203,36.16046,-86.7787
R549,Quaker Bridge,(609) 606-9030,quakerbridge@apple.com,150 Quaker Bridge Mall     ,Lawrence Township,NJ,New Jersey,08648,40.291824,-74.681344
R141,Northbrook,(847) 205-2020,northbrook@apple.com,1056 Northbrook Court,Northbrook,IL,Illinois,60062,42.15048,-87.81709
R094,Victoria Gardens,(909) 803-5220,victoriagardens@apple.com,12461 South Main Street,Rancho Cucamonga,CA,California,91739,34.11069,-117.5335
R364,Augusta,(706) 731-1800,augusta@apple.com,3450 Wrightsboro Road,Augusta,GA,Georgia,30909,33.46575,-82.08065
R206,Cherry Hill,(856) 792-9480,cherryhill@apple.com,2000 Route 38,Cherry Hill,NJ,New Jersey,08002,39.941067,-75.023797
R084,Montgomery Mall,(301) 634-9930,montgomerymall@apple.com,7101 Democracy Boulevard,Bethesda,MD,Maryland,20817,39.024365,-77.146182
R250,West 14th Street,(212) 444-3400,west14thstreet@apple.com,401 W 14th Street,New York,NY,New York,10014,40.7412,-74.00542
R144,NorthPark Center,(214) 765-0820,northparkcenter@apple.com,8687 North Central Expressway,Dallas,TX,Texas,75225,32.86937,-96.77428
R078,Short Pump Town Center,(804) 420-3000,shortpumptowncenter@apple.com,11800 W. Broad Street,Richmond,VA,Virginia,23233,37.656044,-77.618722
R046,Nanuet,(845) 215-6980,nanuet@apple.com,8115 Fashion Drive ,Nanuet,NY,New York,10954,41.0956,-74.0162
R214,The Galleria,(954) 331-4501,thegalleria@apple.com,2388 E. Sunrise Boulevard,Fort Lauderdale,FL,Florida,33304,26.136827578461,-80.114167249231
R035,Michigan Avenue,(312) 529-9500,michiganavenue@apple.com,401 North Michigan Avenue,Chicago,IL,Illinois,60611,41.88929,-87.6237
R016,Walden Galleria,(716) 706-2000,waldengalleria@apple.com,G116 Walden Galleria,Buffalo,NY,New York,14225,42.914661,-78.762075
R148,Sherman Oaks,(818) 464-3080,shermanoaks@apple.com,14006 Riverside Drive,Sherman Oaks,CA,California,91423,34.157258,-118.438615
R353,Summit Mall,(330) 865-6280,summitmall@apple.com,3265 West Market Street,Akron,OH,Ohio,44333,41.13441,-81.61738
R451,The Americana at Brand,(818) 254-1070,theamericanaatbrand@apple.com,877 Americana Way,Glendale,CA,California,91210,34.14443,-118.25698
R516,Carnegie Library,(202) 609-6400,carnegielibrary@apple.com,801 K Street NW,Washington,DC,District of Columbia,20001,38.902601,-77.022989
R316,University Park Village,(817) 840-9801,universityparkvillage@apple.com,1620 S. University Drive,Fort Worth,TX,Texas,76107,32.727707,-97.361671
R009,Easton Town Center,(614) 934-2810,eastontowncenter@apple.com,4210 The Strand,Columbus,OH,Ohio,43219,40.054068,-82.914958
R437,Highland Village,(832) 325-3500,highlandvillage@apple.com,4012 Westheimer Road,Houston,TX,Texas,77027,29.74197,-95.44574
R204,Baybrook,(281) 204-0500,baybrook@apple.com,500 Baybrook Mall,Friendswood,TX,Texas,77546,29.541573684481,-95.148189894099
R234,Willow Grove Park,(215) 346-8160,willowgrovepark@apple.com,2500 West Moreland Road,Willow Grove,PA,Pennsylvania,19090,40.140456,-75.12356
R021,CambridgeSide,(617) 528-7970,cambridgeside@apple.com,100 CambridgeSide Place,Cambridge,MA,Massachusetts,02141,42.367932,-71.075913
R282,Greenwich Avenue,(203) 302-6691,greenwichavenue@apple.com,356 Greenwich Avenue,Greenwich,CT,Connecticut,06830,41.023298255128,-73.62529602612
R355,Haywood Mall,(864) 987-7580,haywoodmall@apple.com,700 Haywood Road,Greenville,SC,South Carolina,29607,34.849384788464,-82.333932409004
R073,Ala Moana,(808) 983-7650,alamoana@apple.com,1450 Ala Moana Boulevard,Honolulu,HI,Hawaii,96814,21.29023622211,-157.842305770593
R414,4th Street,(510) 898-3341,4thstreet@apple.com,1823 4th Street,Berkeley,CA,California,94710,37.869346,-122.300122
R074,Boca Raton,(561) 226-0270,bocaraton@apple.com,6000 Glades Road,Boca Raton,FL,Florida,33431,26.36569,-80.13323
R492,Cielo Vista Mall,(915) 774-8020,cielovistamall@apple.com,8401 Gateway Boulevard West,El Paso,TX,Texas,79925,31.77508,-106.3794
R251,Upper West Side,(212) 209-3400,upperwestside@apple.com,1981 Broadway,New York,NY,New York,10023,40.775072222222,-73.982595290736
R055,Somerset,(248) 822-0081,somerset@apple.com,2800 W Big Beaver Road,Troy,MI,Michigan,48084,42.563,-83.18337
R288,Fritz Farm,(859) 971-5400,fritzfarm@apple.com,4078 Finn Way,Lexington,KY,Kentucky,40517,37.977139,-84.528169
R085,Barton Creek,(512) 634-0520,bartoncreek@apple.com,2901 S. Capital of Texas Hwy,Austin,TX,Texas,78746,30.25806,-97.80722
R199,Higuera Street,(805) 542-8800,higuerastreet@apple.com,899 Higuera Street,San Luis Obispo,CA,California,93401,35.280617510041,-120.66187958447
R152,Staten Island,(718) 568-2230,statenisland@apple.com,2655 Richmond Avenue,Staten Island,NY,New York,10314,40.582432,-74.165837
R262,Anchorage 5th Avenue Mall,(907) 257-1900,anchorage5thavenuemall@apple.com,320 West 5th Avenue,Anchorage,AK,Alaska,99501,61.216734,-149.888387
R613,Evergreen Walk,(860) 512-2070,evergreenwalk@apple.com,401 Evergreen Walk,South Windsor,CT,Connecticut,06074,41.812848,-72.556558
R338,The Promenade Shops at Briargate,(719) 522-4460,briargate@apple.com,1685 Briargate Parkway,Colorado Springs,CO,Colorado,80920,38.962692,-104.79529
R324,Renaissance at Colony Park,(601) 607-4521,renaissanceatcolonypark@apple.com,1000 Highland Colony Parkway,Ridgeland,MS,Mississippi,39157,32.434193909776,-90.146924361481
R002,Palo Alto,(650) 798-2800,paloalto@apple.com,340 University Avenue,Palo Alto,CA,California,94301,37.44642,-122.16086
R028,Kenwood Towne Centre,(513) 826-3620,kenwoodtownecentre@apple.com,7875 Montgomery Road,Cincinnati,OH,Ohio,45236,39.201632,-84.37789
R339,Tacoma Mall,(253) 620-1454,tacomamall@apple.com,4502 S Steele Street,Tacoma,WA,Washington,98409,47.215559,-122.4696
R100,Alderwood,(425) 921-1560,alderwoodmall@apple.com,3000 184th Street S.W.,Lynnwood,WA,Washington,98037,47.830595,-122.27195
R081,Eton,(216) 535-4560,eton@apple.com,28849 Chagrin Boulevard,Woodmere,OH,Ohio,44122,41.463332,-81.474623
R169,Waterside Shops,(239) 254-4240,watersideshops@apple.com,5555 Tamiami Trail North,Naples,FL,Florida,34108,26.2132,-81.8017
R755,American Dream,(201) 728-0255,americandream@apple.com,1 American Dream Way,East Rutherford,NJ,New Jersey,07073,40.80916,-74.06739
R116,Crabtree Valley Mall,(919) 334-3400,crabtreevalleymall@apple.com,4325 Glenwood Avenue,Raleigh,NC,North Carolina,27612,35.840118,-78.679187
R111,St. Johns Town Center,(904) 380-3080,stjohnstowncenter@apple.com,4835 River City Drive,Jacksonville,FL,Florida,32246,30.253253,-81.525252
R293,Friendly Center,(336) 291-0486,friendlycenter@apple.com,3320 West Friendly Avenue,Greensboro,NC,North Carolina,27410,36.08601,-79.83615
R015,Fashion Island,(949) 629-9717,fashionisland@apple.com,1113 Newport Center Drive,Newport Beach,CA,California,92660,33.61502,-117.87673
R065,King of Prussia,(484) 636-5090,kingofprussia@apple.com,160 N. Gulph Road,King of Prussia,PA,Pennsylvania,19406,40.088174,-75.391134
R068,Walt Whitman,(631) 760-0160,waltwhitman@apple.com,160 Walt Whitman Road,Huntington Station,NY,New York,11746,40.821498,-73.410436
R138,Freehold Raceway Mall,(732) 358-8426,freeholdracewaymall@apple.com,3710 Route 9 South,Freehold,NJ,New Jersey,07728,40.253813,-74.30017
R348,Main Place,(630) 536-5400,mainplace@apple.com,120 West Jefferson Avenue,Naperville,IL,Illinois,60540,41.7728,-88.15037
R233,Woodland Hills,(918) 249-7800,woodlandhills@apple.com,7021 S. Memorial Drive,Tulsa,OK,Oklahoma,74133,36.06342,-95.88056
R031,Scottsdale Fashion Square,(602) 606-1470,scottsdalefashionsquare@apple.com,7014 East Camelback Road,Scottsdale,AZ,Arizona,85251,33.50367,-111.9266
R299,Franklin Park Mall,(419) 473-4250,franklinparkmall@apple.com,5001 Monroe Street,Toledo,OH,Ohio,43623,41.694016,-83.640205
R057,Bay Street,(510) 350-2400,baystreet@apple.com,5640 Bay Street,Emeryville,CA,California,94608,37.83475,-122.29224
R151,Southlake Town Square,(817) 722-1401,southlaketownsquare@apple.com,260 Grand Avenue,Southlake,TX,Texas,76092,32.943821,-97.130591
R232,Natick,(508) 903-2800,natick@apple.com,1245 Worcester Street,Natick,MA,Massachusetts,01760,42.301522,-71.383724
R095,Fifth Avenue,(212) 336-1440,fifthavenue@apple.com,767 Fifth Avenue,New York,NY,New York,10153,40.76383,-73.97296
R228,Park Meadows,(303) 256-1501,parkmeadows@apple.com,8405 Park Meadows Center Drv,Lone Tree,CO,Colorado,80124,39.562176,-104.875562
R004,South Coast Plaza,(714) 424-6331,southcoastplaza@apple.com,3333 Bear Street,Costa Mesa,CA,California,92626,33.6921,-117.89322
R292,Scottsdale Quarter,(480) 627-5501,scottsdalequarter@apple.com,15169 North Scottsdale Road,Scottsdale,AZ,Arizona,85254,33.62411,-111.92514
R087,Aventura,(305) 914-9826,aventura@apple.com,19501 Biscayne Boulevard,Aventura,FL,Florida,33180,25.95825,-80.141707
R099,Stanford Shopping Center,(650) 798-6180,stanfordshoppingcenter@apple.com,379 Stanford Shopping Center,Palo Alto,CA,California,94304,37.44177,-122.172489
R042,Knox Street,(214) 520-8532,knoxstreet@apple.com,3101 Knox Street,Dallas,TX,Texas,75205,32.82254,-96.78791
R052,Infinite Loop,(408) 606-5775,infiniteloop@apple.com,One Infinite Loop,Cupertino,CA,California,95014,37.331423,-122.030503
R083,SouthPark,(704) 972-3280,southpark@apple.com,4400 Sharon Road,Charlotte,NC,North Carolina,28211,35.152573,-80.832012
R198,Royal Hawaiian,(808) 931-2480,royalhawaiian@apple.com,2301 Kalakaua Avenue,Honolulu,HI,Hawaii,96815,21.278075,-157.828165
R115,Lincoln Road,(305) 421-0400,lincolnroad@apple.com,1021 Lincoln Road,Miami Beach,FL,Florida,33139,25.79102,-80.139364
R129,Pentagon City,(703) 236-1550,pentagoncity@apple.com,1100 South Hayes Street,Arlington,VA,Virginia,22202,38.86311,-77.06122
R010,Tysons Corner,(703) 336-8450,tysonscorner@apple.com,7926 Tysons Corner Center,McLean,VA,Virginia,22102,38.918185,-77.2209595
R247,Arrowhead,(623) 707-2860,arrowhead@apple.com,7700 West Arrowhead Towne Ctr,Glendale,AZ,Arizona,85308,33.6422,-112.2256
R080,Avalon,(770) 510-1670,avalon@apple.com,8130 Avalon Boulevard,Alpharetta,GA,Georgia,30009,34.07062236953,-84.274814128876
R130,Penn Square,(405) 767-6600,pennsquare@apple.com,1901 NW Expressway Street,Oklahoma City,OK,Oklahoma,73118,35.52485,-97.54551
R616,Eastwood Towne Center,(517) 374-4920,eastwoodtownecenter@apple.com,3025 Preyde Boulevard,Lansing,MI,Michigan,48912,42.764347,-84.514723
R271,Reston,(571) 449-4800,reston@apple.com,11937 Market Street,Reston,VA,Virginia,20190,38.9585,-77.3581
R012,The Falls,(305) 234-4565,thefalls@apple.com,8888 SW 136th Street,Miami,FL,Florida,33176,25.643719563754,-80.33814594377
R598,Potomac Town Center,(703) 986-2030,potomactowncenter@apple.com,15100 Potomac Town Place,Woodbridge,VA,Virginia,22191,38.6282157,-77.2877284
R156,Brea Mall,(714) 989-5550,breamall@apple.com,1016C Brea Mall,Brea,CA,California,92821,33.915871,-117.886592
R263,Mall of Louisiana,(225) 765-3500,malloflouisiana@apple.com,6401 Bluebonnet Boulevard,Baton Rouge,LA,Louisiana,70836,30.38801,-91.08676
