location_name,street_address,city,state,zip_code,latitude,longitude,charging_details,amenities,superchargers_count,when_available,power_capacity,state_name,brand,updated
Target,2567 Berryhill Road,Montgomery,AL,36117,32.361448,-86.160484,"12 Superchargers, available 24/7, up to 250kW","wifi, shopping, beverage, restrooms",12, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Lane Parke Shopping Mall,1000 Jemison Lane,Mountain Brook,AL,35223,33.484874,-86.772057,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, restrooms",8, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Oxford Exchange,1105 Oxford Exchange Blvd,Oxford,AL,36203-0000,33.610433,-85.78321,"12 Superchargers, available 24/7, up to 150kW","restaurants, shopping, beverage, restrooms",12, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
Buc-ee's,20403  Co Road 68,Robertsdale,AL,36567,30.6332448,-87.67599,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Love's Travel Stop,905 Steele Station Road,Steele,AL,35987,33.9328,-86.191772,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,Alabama,Tesla superchargers,2024-07-27
Santos Coffee,1009 Fulton Ave,Gardendale,AL,35071,33.65242955,-86.8096048,"8 Superchargers, available 24/7, up to 250kW",beverage,8, 24/7, 250kW,Alabama,Tesla superchargers,2024-07-27
Whistle Stop,43540 Kleeb Loop,Soldotna,AK,99669,60.493983,-151.046105,"4 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",4, 24/7, 250kW,Alaska,Tesla superchargers,2024-07-27
Carl's Jr. - Sundance Towne Center,416  S Watson Rd,Buckeye,AZ,85326-3419,33.442529,-112.556665,"4 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",4, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Culver's,2453 E. Florence Blvd,Casa Grande,AZ,85194-5429,32.879134,-111.682551,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
The Park at San Tan,3075 W Ray Rd,Chandler,AZ,85226,33.319172,-111.896566,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage",12, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Shell &amp; Subway Travel Center,14925 Cordes Lakes Rd,Mayer,AZ,86333,34.327613,-112.118572,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Flying J Travel Center,11 Frontage Road North,Ehrenberg,AZ,85334,33.602156,-114.521724,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Courtyard Marriott Flagstaff,2650 South Beulah Blvd,Flagstaff,AZ,86001-8924,35.174043,-111.663863,"12 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",12, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Carl's Jr. - Gila Bend,826 826 W Pima St.,Gila Bend,AZ,85337-3033,32.943663,-112.733862,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Westgate Entertainment District,6755 West Brandon Lane,Glendale,AZ,85305,33.537198,-112.262295,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, beverage, restrooms",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Burger King Holbrook,2096 Navajo Blvd,Holbrook,AZ,86025-2100,34.92321,-110.146393,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",8, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
City of Kingman Visitor Center,120  West Andy Devine Avenue #2,Kingman,AZ,86401,35.18911,-114.057782,"16 Superchargers, available 24/7, up to 250kW","restaurants, lodging, beverage, restrooms",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Carl's Jr. Kingman,789 W Beale St,Kingman,AZ,86401-5942,35.191508,-114.065633,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",6, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Mesa Grand Shopping Center,1855 South Stapley Drive,Mesa,AZ,85204,33.380195,-111.805669,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",12, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Shell Gas Station,3906 West New River Road,New River,AZ,85087,33.914502,-112.143564,"10 Superchargers, available 24/7, up to 150kW","restaurants, beverage, restrooms",10, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Courtyard Page at Lake Powell,600 Clubhouse Drive,Page,AZ,86040,36.925113,-111.467946,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",8, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Payson Village,142 AZ-260,Payson,AZ,85541,34.24185,-111.322701,"12 Superchargers, available 24/7, up to 150kW","restaurants, shopping, beverage, restrooms",12, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Target,5715 North 19th Avenue,Phoenix,AZ,85015,33.521675,-112.099134,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",12, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Deer Valley Town Center,2805 Agua Fria Fwy,Phoenix,AZ,85027-3938,33.666917,-112.120889,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Metro Commons,3121 W Peoria Ave,Phoenix,AZ,85029,33.580949,-112.126585,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Biltmore Fashion Park,2502 East Camelback Road,Phoenix,AZ,85016-4254,33.51125,-112.0267,"4 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",4, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Scottsdale 101,7000 E Mayo Blvd,Phoenix,AZ,85054,33.655304,-111.927509,"20 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",20, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
350-370 Main Event Ln,,Quartzsite,AZ,85346,33.66276996,-114.23993225,"84 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",84, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Carl's Jr.,1451 West Main Street,Quartzsite,AZ,85346-5359,33.661606,-114.242143,"28 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",28, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Pima Crossing,8740  East Shea Boulevard,Scottsdale,AZ,85260,33.582142,-111.894959,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Scottsdale Quarter,15059 N. Scottsdale Rd,Scottsdale,AZ,85254-2421,33.62354,-111.922351,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Kierland Commons,15205 North Kierland Boulevard,Scottsdale,AZ,85254,33.622997,-111.929513,"8 Superchargers, available 24/7, up to 72kW","restaurants, shopping, beverage, restrooms",8, 24/7, 72kW,Arizona,Tesla superchargers,2024-07-27
The Collective Sedona,7000 AZ-179,Sedona,AZ,86351,34.774578,-111.763956,"14 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",14, 24/7, 72kW,Arizona,Tesla superchargers,2024-07-27
Tacna Shell Travel Center,9250 South Avenue 40E,Tacna,AZ,85352,32.690999,-113.953353,"8 Superchargers, available 24/7, up to 250kW","beverage, restrooms",8, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Arizona Mills Mall,5000  South Arizona Mills Circle,Tempe,AZ,85282,33.378623,-111.965416,"14 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, beverage",14, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
La Encantada,2905 East Skyline Drive,Tucson,AZ,85718,32.325321,-110.931694,"10 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 72kW,Arizona,Tesla superchargers,2024-07-27
The Marketplace at Marana,3844  West River Road,Tucson,AZ,85741,32.323084,-111.043891,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Shell Gas Station and Convenience Store,9255 S Rita Rd,Tucson,AZ,85747,32.0846,-110.80395,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",10, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
The Grand Hotel,149 State Route 64,Tusayan,AZ,86023,35.96999,-112.127778,"12 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",12, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Shell,12683 White Hills Road,Willow Beach,AZ,86445,35.699574,-114.476485,"8 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",8, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Wickenburg Town Hall,155 N Tegner,Wickenburg,AZ,85390-3427,33.970361,-112.73168,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",8, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Holiday Inn Express,1251 Virginia Avenue,Willcox,AZ,85643-1022,32.270764,-109.84577,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, lodging, beverage, restrooms",8, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Circle K,11235 South Fortuna Road,Yuma,AZ,85367,32.668372,-114.443146,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,Arizona,Tesla superchargers,2024-07-27
Gateway Park,310  North Madison Avenue,Yuma,AZ,85364-1417,32.726552,-114.619149,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage",8, 24/7, 150kW,Arizona,Tesla superchargers,2024-07-27
Pine Crest Shopping Center,1401 Pinecrest Street,Brinkley,AR,72021,34.904861,-91.199112,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,Arkansas,Tesla superchargers,2024-07-27
Kum &amp; Go,3920  Southwest Drive,Jonesboro,AR,72404,35.7972899,-90.731112,"7 Superchargers, available 24/7, up to 250kW","beverage, restrooms",7, 24/7, 250kW,Arkansas,Tesla superchargers,2024-07-27
Outlets of Little Rock,11201 Bass Pro Parkway,Little Rock,AR,72210-3056,34.6614,-92.41031,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,Arkansas,Tesla superchargers,2024-07-27
Workman's Travel Center,898 W Monroe Ave,Lowell,AR,72745,36.254582,-94.153552,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Arkansas,Tesla superchargers,2024-07-27
Workman's Travel Center,3202 Pence Lane,Ozark,AR,72949,35.523236,-93.863751,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,Arkansas,Tesla superchargers,2024-07-27
"Van Buren, AR",500 Pointer Trail,Van Buren,AR,72956,35.458721,-94.355384,"6 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 250kW,Arkansas,Tesla superchargers,2024-07-27
333 S Abbott Ave,,Milpitas,CA,95035,37.425363,-121.914536,"12 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Mill at 43 Ranch,65340 Los Lobos Rd,San Ardo,CA,93450,35.974772,-120.900585,"12 Superchargers, available 24/7, up to 250kW","shopping, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Alameda South Shore Center,523 South Shore Center West,Alameda,CA,94501,37.756786,-122.249458,"12 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",12, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Fremont Plaza,2400 W Commonwealth Ave,Alhambra,CA,91803,34.087135,-118.151192,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Holiday Market,1200  West 12th Street,Alturas,CA,96101,41.495365,-120.55955,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Pique,2404 East Katella Avenue,Anaheim,CA,92806,33.805025,-117.88263,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Target,8148 East Santa Ana Canyon Road,Anaheim,CA,92808,33.866571,-117.747219,"20 Superchargers, available 24/7, up to 72kW","restaurants, shopping, beverage, restrooms",20, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Target,5769 Lone Tree Way,Antioch,CA,94531,37.96276,-121.737539,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,California,Tesla superchargers,2024-07-27
2182 CA-4,,Arnold,CA,95223,38.239152,-120.364871,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
5 Cities Shopping Center,1158 West Branch Street,Arroyo Grande,CA,93420,35.126387,-120.596517,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Rabobank,6950 El Camino Real,Atascadero,CA,93422-4209,35.486946,-120.666054,"8 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",8, 24/7, 150kW,California,Tesla superchargers,2024-07-27
13437 Bowman Road,,Auburn,CA,95603,38.926307,-121.056974,"12 Superchargers, available 24/7, up to 250kW","restaurants, lodging, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Target,809 N Azusa Ave,Azusa,CA,91702,34.1371556,-117.9081369,"16 Superchargers, available 24/7, up to 250kW","beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Baker Shell,71808 Baker Blvd,Baker,CA,92309-0000,35.262001,-116.080466,"28 Superchargers, available 24/7, up to 250kW","beverage, restrooms",28, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Easy Trip Food Store,29541 Stockdale Hwy,Bakersfield,CA,93314-9644,35.354618,-119.331881,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 150kW,California,Tesla superchargers,2024-07-27
DoubleTree by Hilton Bakersfield,3100  Camino Del Rio Court,Bakersfield,CA,93308,35.382684,-119.047467,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Countryside Market &amp; Restaurants,9741  South Enos Lane,Bakersfield,CA,93311,35.26671,-119.252869,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Holiday Inn &amp; Suites,2812 Lenwood Rd.,Barstow,CA,92311-9589,34.849329,-117.083069,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",16, 24/7, 150kW,California,Tesla superchargers,2024-07-27
2796 Tanger Way,,Barstow,CA,92311,34.844597,-117.0857,"70 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, restrooms",70, 24/7, 250kW,California,Tesla superchargers,2024-07-27
San Gorgonio Village,1540 E. 2nd Street,Beaumont,CA,92223,33.9229,-116.9523,"20 Superchargers, available 24/7, up to 250kW","restaurants, shopping",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
4416 Gage Avenue,,Bell,CA,92345,33.977815,-118.188883,"8 Superchargers, available 24/7, up to 250kW","restaurants, wifi, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Ventana Big Sur,48123 Highway 1,Big Sur,CA,93920,36.226594,-121.761469,"8 Superchargers, available 24/7, up to 72kW",lodging,8, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Lot 13,151 South Warren Street,Bishop,CA,93514,37.360778,-118.396422,"12 Superchargers, available 24/7, up to 250kW",restaurants,12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Brea Downtown Parking Structure,175 North Madrona Avenue,Brea,CA,92821,33.919237,-117.902249,"24 Superchargers, available 24/7, up to 250kW","restaurants, restrooms",24, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Brea Mall,1065 Brea Mall,Brea,CA,92821,33.914603,-117.883758,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Source OC,6940 Beach Boulevard,Buena Park,CA,90621,33.86051,-117.997837,24 Superchargers up to 72kW,"restaurants, shopping, beverage, restrooms",24 up to 72kW,,,California,Tesla superchargers,2024-07-27
Burbank Town Center,495 North Third Street,Burbank,CA,91502,34.184958,-118.311537,"20 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 150kW,California,Tesla superchargers,2024-07-27
1009 N San Fernando Blvd,,Burbank,CA,91504,34.187405,-118.317839,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
677 N Victory Blvd,,Burbank,CA,91506,34.179153,-118.321686,"24 Superchargers, available 24/7, up to 250kW","restaurants, shopping",24, 24/7, 250kW,California,Tesla superchargers,2024-07-27
20673 Tracy Ave.,,Buttonwillow,CA,93206-9782,35.400652,-119.397576,"10 Superchargers, available 24/7, up to 150kW","restaurants, wifi, lodging, beverage, restrooms",10, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Buttonwillow Raceway,24551  West Lerdo Highway,Buttonwillow,CA,93206,35.498433,-119.546824,"16 Superchargers, available 24/7, up to 250kW",,16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Morongo Travel Center,48540  Morongo Trail,Cabazon,CA,92230,33.92426,-116.802543,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Commons at Calabasas,4799 Commons Way,Calabasas,CA,91302-3372,34.154687,-118.645173,"20 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Moonraker Millhouse,3501 Robin Lane,Cameron Park,CA,95682,38.655624,-120.965536,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Carlsbad Premium Outlets,5620 Paseo Del Norte,Carlsbad,CA,92008,33.123825,-117.31933,"16 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Beacon La Costa,7710-7770 El Camino Real,Carlsbad,CA,92009-8562,33.083684,-117.266409,"26 Superchargers, available 24/7, up to 72kW","restaurants, wifi, beverage, restrooms",26, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Castaic Creek,29461 The Old Road,Castaic,CA,91384,34.452692,-118.616072,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Los Cerritos Center,239 Los Cerritos Center,Cerritos,CA,90703-5422,33.864341,-118.091923,"20 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 72kW,California,Tesla superchargers,2024-07-27
Target,1951 East 20th Street,Chico,CA,95928,39.727156,-121.803084,"18 Superchargers, available 24/7, up to 150kW","restaurants, shopping, beverage, restrooms",18, 24/7, 150kW,California,Tesla superchargers,2024-07-27
The Shoppes at Chino Hills,13920 City Center Drive,Chino Hills,CA,91709,34.002301,-117.730277,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Fig Tree Plaza,1225 East Robertson Boulevard,Chowchilla,CA,93610,37.126541,-120.247546,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, lodging, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
505 Telegraph Canyon Road,,Chula Vista,CA,91910,32.62894,-117.041402,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Eastlake Village Marketplace,910 Eastlake Parkway,Chula Vista,CA,91914,32.648807,-116.967934,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Seasons Place,18558 Gale Avenue,City of Industry,CA,91748,33.994565,-117.900358,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Trading Post,870 Herndon Avenue,Clovis,CA,93612,36.836658,-119.697632,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Harris Ranch Inn &amp; Restaurant,24553 W Dorris Avenue,Coalinga,CA,93210,36.254418,-120.238437,"60 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",60, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Citadel Outlets,100 Citadel Drive,Commerce,CA,90040,34.003692,-118.15023,"20 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",20, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Willows Shopping Center,1975 Diamond Boulevard,Concord,CA,94520,37.969792,-122.058611,"16 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, lodging, beverage, restrooms",16, 24/7, 250kW,California,Tesla superchargers,2024-07-27
The Veranda,2001 Diamond Blvd.,Concord,CA,94520,37.972185,-122.056622,"19 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",19, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Copperopolis Town Square,100 Town Square Road,Copperopolis,CA,95228,37.972472,-120.652806,"12 Superchargers, available 24/7, up to 250kW","restaurants, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Rabobank Corning,950 Hwy 99 W,Corning,CA,96021-2706,39.926618,-122.197775,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, beverage, restrooms",6, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Target Superstore,2615 Tuscany Street,Corona,CA,92881-4631,33.826735,-117.515369,"20 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",20, 24/7, 72kW,California,Tesla superchargers,2024-07-27
The Village at Corte Madera,1618 Redwood Highway,Corte Madera,CA,94925,37.928217,-122.514879,"10 Superchargers, available 24/7, up to 72kW","restaurants, wifi, shopping, beverage, restrooms",10, 24/7, 72kW,California,Tesla superchargers,2024-07-27
SOCO &amp; The OC Mix,3303 Hyland Ave,Costa Mesa,CA,92626,33.6925,-117.92529,"8 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Holiday Market,20635  Gas Point Road,Cottonwood,CA,96022,40.389169,-122.287832,"12 Superchargers, available 24/7, up to 250kW","restaurants, shopping, beverage, restrooms",12, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Crescent City Downtown Parking,1000 Front Street,Crescent City,CA,95531-4307,41.752517,-124.194275,"6 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",6, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Westfield Culver City,6000 Sepulveda Blvd.,Culver City,CA,90230-6421,33.98619,-118.39057,"16 Superchargers, available 24/7, up to 150kW","restaurants, wifi, shopping, beverage, restrooms",16, 24/7, 150kW,California,Tesla superchargers,2024-07-27
Haven Apartments,11924 Washington Boulevard,Culver City,CA,90066,33.997772,-118.420557,"8 Superchargers, available 24/7, up to 250kW","shopping, restrooms",8, 24/7, 250kW,California,Tesla superchargers,2024-07-27
Target,20745 Stevens Creek Boulevard,Cupertino,CA,95014,37.324894,-122.037219,"28 Superchargers, available 24/7, up to 250kW","restaurants, wifi, shopping, beverage, restrooms",28, 24/7, 250kW,California,Tesla superchargers,2024-07-27
