store_id,name,street,city,state,zip,phone,manager,store_opened,latitude,longitude,state_name
1664,Eau Claire,1420 Black Avenue,Eau Claire,WI,54703,(715) 598-6755                  ,Shawney Mcmillan,"Nov 30, 2023",44.831,-91.451,Wisconsin
1422,Duluth,4611 W Arrowhead Rd.,Duluth,MN,55811,(218) 600-5978                  ,John Kuzas,"Oct 28, 2021",46.823,-92.173,Minnesota
1121,Sun Prairie,2850 Hoepker Rd,Sun Prairie,WI,53590-9334,(608) 825-4001                  ,Kim O'Brien,"Nov 15, 2012",43.167,-89.274,Wisconsin
628,Grafton,950 Port Washington Rd,Grafton,WI,53024-9201,(262) 204-1050                  ,Daniel Slawinski,"Aug 30, 2007",43.324,-87.922,Wisconsin
1020,Middleton,2150 Deming Way,Middleton,WI,53562-5507,(608) 824-3950                  ,Justin Ferguson,"Aug 20, 2008",43.1,-89.522,Wisconsin
1209,Menomonee Falls,W162N9235 Pershing Ave,Menomonee Falls,WI,53051-4026,(262) 946-6060                  ,Jenn Joven       Mgr,"Nov 5, 2015",43.185,-88.112,Wisconsin
330,Frederick,10 Monocacy Blvd,Frederick,MD,21704-7256,(301) 644-1483                  ,Rob Young,"Dec 1, 2001",39.401,-77.408,Maryland
337,Leesburg,1300 Edwards Ferry Rd Ne,Leesburg,VA,20176-3355,(703) 669-5061                  ,Billy Wallace,"Jul 28, 2004",39.115,-77.533,Virginia
239,Winchester,251 Front Royal Pike,Winchester,VA,22602-7319,(540) 722-9626                  ,Jena Marcello Tafur,"May 23, 1995",39.158,-78.156,Virginia
213,Gaithersburg,880 Russell Ave,Gaithersburg,MD,20879-3506,(301) 417-1500                  ,Kevin Wojciechowski,"Jul 28, 1990",39.156,-77.214,Maryland
218,Sterling,21398 Price Cascades Plz,Sterling,VA,20164-6606,(703) 406-6500                  ,Yolanda Brooks,"Nov 17, 1990",39.024,-77.402,Virginia
1326,Owings Mills,10270 Mill Run Circle,Owings Mills,MD,21117,(443) 501-7043                  ,Shannon Dillard,"Oct 18, 2018",39.406,-76.789,Maryland
327,Harrisburg,5125 Jonestown Rd Ste 221,Harrisburg,PA,17112-2983,(717) 412-2050                  ,Ian Schrotel,"Aug 28, 2001",40.307,-76.798,Pennsylvania
334,Chantilly,14390 Chantilly Crossing Ln,Chantilly,VA,20151-2117,(703) 885-5544                  ,Jay Matthews,"Oct 9, 2003",38.896,-77.443,Virginia
1124,Wheaton,11160 Veirs Mill Rd,Wheaton,MD,20902-2538,(301) 692-1330                  ,Valene Petillo,"Apr 10, 2013",39.036,-77.056,Maryland
1000,Columbia MD,6675 Marie Curie Dr,Elkridge,MD,21075-6457,(410) 423-4052                  ,Steve Senerchia,"Oct 5, 2007",39.187,-76.794,Maryland
303,Avon MA,120 Stockwell Dr,Avon,MA,02322-1149,(508) 232-4000                  ,Joe Buchino,"Sep 12, 1991",42.137,-71.066,Massachusetts
319,Dedham,200 Legacy Blvd,Dedham,MA,02026-2653,(781) 251-9975                  ,Tj Cleary,"Mar 17, 1998",42.232,-71.173,Massachusetts
333,Everett MA,2 Mystic View Rd,Everett,MA,02149-2428,(617) 544-4806                  ,Ken Lachance,"Nov 21, 2002",42.397,-71.072,Massachusetts
308,Waltham,71 2Nd Ave,Waltham,MA,02451-1107,(781) 622-3883                  ,John Stather,"Nov 10, 1993",42.395,-71.265,Massachusetts
301,Danvers,11 Newbury St,Danvers,MA,01923-1014,(978) 750-1000                  ,Greg Celentano,"Nov 29, 1990",42.557,-70.977,Massachusetts
1372,E Lyme,284 Flanders Rd,East Lyme,CT,06333-1710,(860) 691-9647                  ,Joe Lacerva,"Nov 14, 2019",41.36,-72.214,Connecticut
307,Nashua,311 Daniel Webster Hwy,Nashua,NH,03060-5702,(603) 888-3640                  ,Bob Grady,"Mar 18, 1992",42.702,-71.443,New Hampshire
1493,South Windsor,1220 Tamarack Ave,South Windsor,CT,06074,(860) 474-4031                  ,Michael Bianchi,"Nov 16, 2021",41.818,-72.556,Connecticut
780,Enfield,75 Freshwater Blvd,Enfield,CT,06082-3854,(860) 394-2000                  ,Todd Cunningham,"Jul 29, 2004",41.993,-72.576,Connecticut
302,West Springfield,119 Daggett Dr,West Springfield,MA,01089-4672,(413) 747-5518                  ,Chris Roberts,"Nov 8, 1990",42.132,-72.621,Massachusetts
1199,Princeton,4100 Quakerbridge Rd,Lawrence Township,NJ,08648-4702,(609) 779-7000                  ,Zoya Vlady,"Aug 25, 2016",40.282,-74.675,New Jersey
356,Huntsville,1205 N. Memorial Pkwy,Huntsville,AL,35801-5930,(256) 519-2220                  ,Ryan Sultan,"Nov 2, 2000",34.744,-86.603,Alabama
1448,Murfreesboro,1524 Beasie Rd,Murfreesboro,TN,37128,(615) 439-2639                  ,Chris Harman,"Jul 20, 2021",35.826,-86.417,Tennessee
386,Brentwood,98 Seaboard Ln,Brentwood,TN,37027-2930,(615) 493-1003                  ,Glenn Mcchesney  Mgr,"Aug 27, 1999",35.964,-86.817,Tennessee
630,W Nashville,6670 Charlotte Pike,Nashville,TN,37209-4202,(615) 354-5100                  ,Rolando Mestre,"Nov 14, 2006",36.14,-86.885,Tennessee
1083,Fort Oglethorpe,100 Cobb Pkwy,Ringgold,GA,30736-8566,(706) 891-2579                  ,Chase Pullen,"Oct 27, 2010",34.968,-85.194,Georgia
362,Hoover,3650 Galleria Cir,Hoover,AL,35244-2346,(205) 909-1039                  ,Anny Alfonso,"Nov 20, 2003",33.379,-86.812,Alabama
1659,Hendersonville,1101 Forest Retreat Rd,Hendersonville,TN,37075,(615) 348-3248                  ,Matt Freitas,"Nov 15, 2023",36.329,-86.623,Tennessee
1389,Dallas GA,1715 Charles Hardy Pkwy,Dallas,GA,30157,(404) 806-4595                  ,Jose Rodrigues,"Mar 11, 2021",33.921,-84.764,Georgia
1295,Woodstock,113 Lincoln St,Woodstock,GA,30188-7800,(770) 694-7193                  ,Carlos Rosales,"Aug 9, 2018",34.12,-84.516,Georgia
189,Town Center,645 Barrett Parkway Nw,Kennesaw,GA,30144-4922,(770) 794-1767                  ,Dave Kraff,"Sep 13, 1997",34.005,-84.57,Georgia
1279,Traverse City,125 E South Airport Rd,Traverse City,MI,49686-4864,(231) 252-7000                  ,Dave Williams     Mgr,"Oct 26, 2017",44.734,-85.572,Michigan
1420,Midland,4816 Bay City Rd,Midland,MI,48642,(989) 488-1553                  ,Mark Zuerner      Mgr,"Nov 12, 2020",43.603,-84.17,Michigan
784,Grand Rapids,5100 28Th St Se,Grand Rapids,MI,49512-2049,(616) 233-4401                  ,Sara Lupton     Mgr,"Dec 9, 2004",42.911,-85.543,Michigan
1277,East Lansing,2540 E Saginaw Highway,East Lansing,MI,48823-9719,(517) 903-5000                  ,Patrick Mulholland,"Oct 27, 2017",42.752,-84.444,Michigan
744,Wyoming,4901 Wilson Ave Sw,Wyoming,MI,49418-8788,(616) 406-2651                  ,Craig Jamieson   Mgr,"Jun 16, 2005",42.876,-85.763,Michigan
376,Auburn Hills,400 Brown Rd,Auburn Hills,MI,48326-1305,(248) 648-0003                  ,David Pierce      Mgr,"Nov 22, 2000",42.706,-83.296,Michigan
786,Green Oak Township,6700 Whitmore Lake Rd,Brighton,MI,48116-2160,(810) 220-8950                  ,Stephanie Tagai   Mgr,"Dec 8, 2004",42.504,-83.762,Michigan
1037,Bloomfield,2343 S Telegraph Rd,Bloomfield,MI,48302-0254,(248) 836-1603                  ,Ryan Yarrington,"May 1, 1998",42.607,-83.293,Michigan
341,Commerce Township,3000 Commerce Xing,Commerce Township,MI,48390-3082,(248) 529-2300                  ,Harley Trader,"Sep 25, 2003",42.534,-83.445,Michigan
1629,Kyle,19086 Ih 35,Kyle,TX,78640,(512) 400-2311                  ,Mike Cox          Mgr,"Mar 30, 2023",30.002,-97.867,Texas
641,S Austin,4301 W William Cannon Dr Bldg A Ste,Austin,TX,78749-1499,(512) 382-3013                  ,Armando Flores,"Jun 1, 2006",30.219,-97.842,Texas
681,Austin,10401 Research Blvd,Austin,TX,78759-5712,(512) 634-2253                  ,Brenda Philpott,"Aug 30, 2001",30.396,-97.744,Texas
1322,Pflugerville,1901 Kelly Ln,Pflugerville,TX,78660,(737) 888-6037                  ,Dave Schutter     Mgr,"Jul 26, 2018",30.469,-97.591,Texas
1006,Selma,15330 Ih-35 North,Selma,TX,78154-3814,(210) 332-1072                  ,Steve Fraga,"Oct 17, 2007",29.576,-98.319,Texas
1152,Cedar Park TX,4601 183A Toll Rd,Cedar Park,TX,78613-6310,(512) 690-9059                  ,Dan Leonhardt    Mgr,"Nov 22, 2013",30.527,-97.819,Texas
693,Sonterra Park,1201 N Loop 1604 E,San Antonio,TX,78232-1322,(210) 403-4703                  ,Lesley Mckay,"Jul 11, 2002",29.612,-98.475,Texas
1385,Georgetown,2201A N Ih 35,Georgetown,TX,78628,(512) 240-9201                  ,Scott Woods       Mgr,"Jul 14, 2023",30.677,-97.664,Texas
689,NW San Antonio,5611 Utsa Blvd,San Antonio,TX,78249-1619,(210) 200-2050                  ,Brian Barsky,"Nov 3, 2001",29.576,-98.597,Texas
1449,W San Antonio,191 W Loop 1604 S,San Antonio,TX,78245-4191,(210) 868-6725                  ,Mark Barnes,"Sep 23, 2021",29.431,-98.715,Texas
241,New Rochelle,1 Industrial Ln,New Rochelle,NY,10805-1203,(914) 235-2233                  ,Frank Torres,"Jun 3, 1994",40.896,-73.795,New York
326,Port Chester,1 Westchester Ave,Port Chester,NY,10573-4314,(914) 935-3103                  ,Dan Callaghan,"Aug 29, 2002",41.0,-73.661,New York
321,Yonkers,20 Stew Leonard Dr,Yonkers,NY,10710-7204,(914) 595-1003                  ,Fausto Mendoza,"Oct 29, 1999",40.974,-73.862,New York
1062,Manhattan,517 E 117Th St,New York,NY,10035-4409,(212) 896-5875                  ,Mike Devita,"Nov 12, 2009",40.796,-73.931,New York
226,Westbury,1250 Old Country Rd,Westbury,NY,11590-5624,(516) 683-8300                  ,Telly Colon,"Oct 24, 1992",40.744,-73.598,New York
1070,Rego Park,6135 Junction Blvd,Rego Park,NY,11374-2771,(718) 760-2180                  ,Rob Abramski,"Jul 8, 2010",40.733,-73.863,New York
243,Queens,3250 Vernon Blvd,Long Island City,NY,11106-4927,(718) 267-3680                  ,Frank Napolitano,"Nov 20, 1996",40.768,-73.939,New York
729,Hackensack Business Center,80 S River St,Hackensack,NJ,07601-6954,(201) 296-3044                  ,Phil Faulkner,"Mar 15, 2016",40.876,-74.039,New Jersey
324,Norwalk CT,779 Connecticut Avenue,Norwalk,CT,06854-1615,(203) 822-2003                  ,Scott Derubertis Mgr,"May 9, 2001",41.092,-73.452,Connecticut
1214,Teterboro,2 Teterboro Landing Dr,Teterboro,NJ,07608-1120,(201) 596-7001                  ,George Acosta,"Jul 21, 1994",40.861,-74.064,New Jersey
1491,Verona,1000 Batker Court,Verona,WI,53593,(608) 497-8355                  ,Silvia Comunale,"Aug 17, 2022",42.971,-89.509,Wisconsin
1353,Loves Park,5000 Stadium Drive,Loves Park,IL,61111,(779) 513-8397                  ,Koula Wynn,"Aug 23, 2019",42.321,-88.961,Illinois
1101,Pewaukee,443 Pewaukee Rd,Pewaukee,WI,53072-5886,(262) 956-6700                  ,Mark Gibson       Mgr,"Oct 27, 2011",43.089,-88.231,Wisconsin
1212,New Berlin,15300 West Grange Ave,New Berlin,WI,53151-7909,(262) 599-7030                  ,John Checa        Mgr,"Nov 6, 2015",42.945,-88.106,Wisconsin
1198,Pleasant Prairie,7707 94Th Ave,Pleasant Prairie,WI,53158-1955,(262) 597-1027                  ,Sandy Zipp,"Jun 12, 2015",42.564,-87.92,Wisconsin
774,Lake In The Hills,250 N Randall Rd,Lake In The Hills,IL,60156-5943,(847) 960-9910                  ,Michelle Wood,"Jul 8, 2004",42.179,-88.339,Illinois
106,Aurora Village,1175 N 205Th St,Shoreline,WA,98133-3206,(206) 546-0480                  ,Jeff Bacigalupi,"Jun 30, 1994",47.775,-122.344,Washington
115,Lynnwood Business Center,19105 Highway 99,Lynnwood,WA,98036-5228,(425) 640-7700                  ,Joey Bolek       Mgr,"Oct 3, 1996",47.826,-122.31,Washington
1190,Lynnwood,18109 33Rd Ave W,Lynnwood,WA,98037-4840,(425) 697-1062                  ,Andrea Lowden,"Oct 1, 2015",47.834,-122.273,Washington
114,Everett WA,10200 19Th Ave Se,Everett,WA,98208-4256,(425) 379-7451                  ,Rusty Millsap,"Nov 1, 1984",47.904,-122.21,Washington
747,Woodinville,24008 Snohomish Woodinville Rd,Woodinville,WA,98072-9743,(425) 806-7700                  ,Israel Martinez,"Aug 26, 2005",47.78,-122.148,Washington
8,Kirkland,8629 120Th Ave Ne,Kirkland,WA,98033-5822,(425) 827-1693                  ,Jeremy Cook,"Aug 29, 1985",47.681,-122.181,Washington
1225,Redmond,7725 188Th Ave Ne,Redmond,WA,98052-6088,(425) 406-5382                  ,Crystal Fleming,"Nov 11, 2016",47.673,-122.091,Washington
1,Seattle,4401 4Th Ave S,Seattle,WA,98134-2311,(206) 622-3136                  ,Thad Kleszcz,"Sep 15, 1983",47.565,-122.331,Washington
1588,Lake Stevens,9210 24Th Street Se,Lake Stevens,WA,98258,(425) 367-6422                  ,Chris Long,"Dec 2, 2022",47.975,-122.105,Washington
13,Silverdale,10000 Mickelberry Rd Nw,Silverdale,WA,98383-8302,(360) 692-9213                  ,Doug Reed,"Nov 25, 1986",47.657,-122.68,Washington
1334,Bayonne,21 Goldsborough Dr,Bayonne,NJ,07002,(201) 354-2335                  ,Marcin Stroz,"Mar 7, 2019",40.674,-74.104,New Jersey
