location_name,location_number,street,city,state_name,zip,phone,latitude,longitude,open_date,state,brand,updated
Houston - Freeway 290,1040,10830 Northwest Freeway,Houston,Texas,770927304,7136821465,29.816206,-95.464062,1987-05-25,TX,Olive Garden,2024-03-30
Houston - Bunkerhill,1803,9750 Katy Freeway,Houston,Texas,770556209,7139736287,29.78622,-95.53574,1990-08-13,TX,Olive Garden,2024-03-30
Houston - 59 between Kirby and Buffalo Speedway,4483,2929 Southwest Freeway,Houston,Texas,770984523,7135278671,29.72955347,-95.42492086,2015-05-25,TX,Olive Garden,2024-03-30
Houston - Willowbrook Mall,1166,7525 FM 1960 W,Houston,Texas,770705805,2818900784,29.964104,-95.541595,1989-07-10,TX,Olive Garden,2024-03-30
Houston - NRG Stadium off Old Spanish Trl & Kirby,1074,1010 Old Spanish Trail,Houston,Texas,770541708,7136656373,29.691589,-95.414914,1988-02-29,TX,Olive Garden,2024-03-30
Houston - SW Freeway near Gessner Blvd,1285,9080 SW Freeway,Houston,Texas,770741503,7137740198,29.685491,-95.533497,1991-11-11,TX,Olive Garden,2024-03-30
Houston - Richey Rd.,4477,15770 North Freeway,Houston,Texas,770905807,2812092777,29.99598332,-95.424055,2014-01-27,TX,Olive Garden,2024-03-30
Houston - West Oaks Mall,1441,2750 Highway 6,Houston,Texas,770821706,2815318829,29.730296,-95.645013,1994-04-18,TX,Olive Garden,2024-03-30
Houston - Gulfgate Center,6485,522 Gulfgate Center Mall,Houston,Texas,770873020,2816053564,29.69663,-95.29453,2023-10-09,TX,Olive Garden,2024-03-30
Katy,4408,21220 Katy Freeway,Katy,Texas,774497773,2814921244,29.7862,-95.739401,2012-04-09,TX,Olive Garden,2024-03-30
Virginia Beach - Lynnhaven Mall,1185,683 Lynnhaven Parkway,Virginia Beach,Virginia,234527320,7574868234,36.822059,-76.067606,1989-11-27,VA,Olive Garden,2024-03-30
Jackson - Near Jackson Airport,1484,3500 O'Neill Dr.,Jackson,Michigan,492021820,5177872388,42.268293,-84.455501,1995-03-20,MI,Olive Garden,2024-03-30
Okemos MI - Meridian Mall,1187,5015 Marsh Road,Okemos,Michigan,488641103,5173490330,42.726304,-84.415772,1990-02-05,MI,Olive Garden,2024-03-30
Ann Arbor - Briarwood Mall,1110,445 E Eisenhower Pkwy,Ann Arbor,Michigan,481083309,7346636875,42.244552,-83.741676,1988-08-09,MI,Olive Garden,2024-03-30
Brighton - Green Oak Village Place,1712,6870 Whitmore Lake Rd,Brighton,Michigan,481168551,8102258284,42.50283376,-83.75893443,2007-05-21,MI,Olive Garden,2024-03-30
Lansing MI - W Saginaw Hwy M-43,6476,8440 W Saginaw Hwy,Lansing,Michigan,489178970,5175371071,42.7416,-84.67638,2023-06-12,MI,Olive Garden,2024-03-30
Novi Town Center,1330,43300 Crescent Blvd,Novi,Michigan,483751236,2483484279,42.485166,-83.474085,1992-05-25,MI,Olive Garden,2024-03-30
Toledo - Monroe St,1097,5120 Monroe Street,Toledo,Ohio,436233430,4198853878,41.699932,-83.646086,1988-05-23,OH,Olive Garden,2024-03-30
Livonia,1109,14000 Middlebelt Rd,Livonia,Michigan,481544538,7344585100,42.385239,-83.332907,1988-08-01,MI,Olive Garden,2024-03-30
Flint - Miller Road,1105,3699 Miller Rd,Flint,Michigan,485071233,8107324260,42.983131,-83.751893,1988-09-05,MI,Olive Garden,2024-03-30
Chesterfield - St Louis MO,1546,17198 Chesterfield/Airport Rd,Chesterfield,Missouri,630051403,6367281638,38.667987,-90.594385,2001-08-06,MO,Olive Garden,2024-03-30
Fairview Heights - St Clair Mall,1075,25 Ludwig Dr,Fairview Heights,Illinois,622081332,6183978727,38.601573,-89.987933,1988-05-09,IL,Olive Garden,2024-03-30
Bridgeton - Rock Rd,1038,3552 Pennridge Drive,Bridgeton,Missouri,630442411,3147391274,38.758137,-90.435237,1987-06-08,MO,Olive Garden,2024-03-30
St Peters - Mid Rivers,1160,5815 Suemandy Drive,Saint Peters,Missouri,633764327,6362792822,38.79617,-90.622876,1989-07-03,MO,Olive Garden,2024-03-30
Edwardsville - Orchard Town Center,6501,6651 Governors Parkway,Edwardsville,Illinois,62025,6186595060,38.786771,-89.95355,2024-02-26,IL,Olive Garden,2024-03-30
Wentzville Crossing South,1841,1280 W. Pearce Blvd.,Wentzville,Missouri,633853411,6363322250,38.81072,-90.87816,2010-04-19,MO,Olive Garden,2024-03-30
Florence Mall,1766,7844 Mall Road,Florence,Kentucky,410421408,8592821116,38.99291,-84.651491,1990-09-24,KY,Olive Garden,2024-03-30
Cincinnati-Oakley,4496,3290 Vandercar Way,Cincinnati,Ohio,452091012,5133511573,39.1585338,-84.42545542,2017-01-23,OH,Olive Garden,2024-03-30
Cincinnati - Stone Creek Center,1768,3725 Stone Creek Blvd,Cincinnati,Ohio,452511457,5132451820,39.252891,-84.605314,1988-04-11,OH,Olive Garden,2024-03-30
Cincinnati - Beechmont Avenue,1323,475 Ohio Pike,Cincinnati,Ohio,452553337,5135284075,39.070966,-84.308743,1992-03-16,OH,Olive Garden,2024-03-30
Fairfield,1093,7179 Dixie Hwy,Fairfield,Ohio,450145542,5138747393,39.310731,-84.488307,1988-03-21,OH,Olive Garden,2024-03-30
Cincinnati - Mason,1347,4900 Fields-Ertel Road,Cincinnati,Ohio,452498202,5136775922,39.293217,-84.313142,1992-08-17,OH,Olive Garden,2024-03-30
Middletown - Ohio,1442,6710 Roosevelt Ave,Middletown,Ohio,45005,5134245344,39.492504,-84.331079,1994-03-07,OH,Olive Garden,2024-03-30
Dayton Mall,1058,2789 Miamisburg Centerville Rd,Dayton,Ohio,454593729,9374350885,39.637557,-84.220446,1987-10-26,OH,Olive Garden,2024-03-30
Richmond - Indiana,4403,4111 National Road East,Richmond,Indiana,473743725,7659624300,39.830522,-84.846133,2012-02-06,IN,Olive Garden,2024-03-30
Fairborn,1470,2865 Centre Dr.,Beavercreek,Ohio,453242671,9374269200,39.773045,-84.050924,1995-02-20,OH,Olive Garden,2024-03-30
Oshkosh,4423,1190 S Koeller St,Oshkosh,Wisconsin,549026171,9202314553,44.008152,-88.581244,2012-04-09,WI,Olive Garden,2024-03-30
Appleton - Fox River Mall,1387,1275 N. Casaloma,Appleton,Wisconsin,549138408,9209548005,44.272449,-88.476983,1993-05-17,WI,Olive Garden,2024-03-30
Appleton - East,6477,W 3254 Van Roy RD,Appleton,Wisconsin,549154086,9205129155,44.25771,-88.35236,2023-03-06,WI,Olive Garden,2024-03-30
Green Bay,1346,2819 Oneida Street,Green Bay,Wisconsin,543045754,9204967974,44.47409349,-88.07427082,1992-09-14,WI,Olive Garden,2024-03-30
Sheboygan - US-42,6498,4314 Olive Garden Way,Sheboygan,Wisconsin,530831361,9209176956,43.79252,-87.76203,2024-01-29,WI,Olive Garden,2024-03-30
Menomonee Falls,6434,N 91 W15848 Falls Parkway,Menomonee Falls,Wisconsin,530512312,2622515463,43.18398026,-88.10644775,1994-01-24,WI,Olive Garden,2024-03-30
Delafield,6462,2440 Milwaukee St.,Delafield,Wisconsin,530182014,2626462183,43.052761,-88.376153,2022-08-22,WI,Olive Garden,2024-03-30
Brookfield Square,1237,18180 Blue Mound Road,Brookfield,Wisconsin,530452915,2628210300,43.037437,-88.139047,1991-03-11,WI,Olive Garden,2024-03-30
Madison - East Towne Mall,1300,4320 East Town Boulevard,Madison,Wisconsin,537043706,6082490340,43.126301,-89.309353,1992-01-27,WI,Olive Garden,2024-03-30
Greenfield - Southridge Mall,1226,4760 S 76th Street,Greenfield,Wisconsin,532204302,4142819595,42.957796,-88.007712,1990-08-13,WI,Olive Garden,2024-03-30
Voorhees,1477,202 Laurel Oak Rd,Voorhees,New Jersey,080434421,8567846600,39.847519,-74.988177,1995-02-20,NJ,Olive Garden,2024-03-30
Cherry Hill,1533,2314 SR 38,Cherry Hill,New Jersey,080021867,8564140003,39.940427,-75.012575,1990-05-07,NJ,Olive Garden,2024-03-30
Court of Deptford Plaza,1271,1500 N Almonesson Rd,Deptford,New Jersey,080965259,8562326332,39.824506,-75.100269,1991-05-20,NJ,Olive Garden,2024-03-30
Philadelphia - E Roosevelt Blvd,1372,9280 E Roosevelt Blvd,Philadelphia,Pennsylvania,191154715,2159693750,40.078528,-75.031941,1993-03-08,PA,Olive Garden,2024-03-30
Bala Cynwyd,1370,83 City Line Ave,Bala Cynwyd,Pennsylvania,190042421,6106644720,40.003467,-75.224292,1992-12-14,PA,Olive Garden,2024-03-30
Springfield PA - Baltimore Pike,1764,1001 Baltimore Pike. #1B,Springfield,Pennsylvania,190642800,6105444196,39.913583,-75.342587,2008-06-02,PA,Olive Garden,2024-03-30
Langhorne - Oxford Valley Mall,1495,2245 E Lincoln Highway,Langhorne,Pennsylvania,190473033,2159432112,40.177763,-74.880979,1996-04-15,PA,Olive Garden,2024-03-30
Willow Grove - Easton Rd,6489,2402 Easton Road,Willow Grove,Pennsylvania,190901107,2154204901,40.16722,-75.12632,1989-06-12,PA,Olive Garden,2024-03-30
North Wales - Gwynedd Crossing,1269,1200 Bethlehem Pike,North Wales,Pennsylvania,194541322,2156464384,40.209905,-75.225527,1991-06-03,PA,Olive Garden,2024-03-30
Talleyville,1239,305 Rocky Run Parkway,Talleyville,Delaware,198031522,3024770870,39.819006,-75.549543,1991-04-22,DE,Olive Garden,2024-03-30
Moreno Valley Mall,1266,22880 Centerpoint Drive,Moreno Valley,California,925535244,9516563531,33.939693,-117.263509,1991-07-01,CA,Olive Garden,2024-03-30
San Bernardino - Hospitality Lane,1278,460 Hospitality Lane,San Bernardino,California,924083565,9093812747,34.066985,-117.274498,1992-03-09,CA,Olive Garden,2024-03-30
Menifee Town Center,6455,27271 Newport Road,Menifee,California,925842400,9512466957,33.68461,-117.18348,2022-01-17,CA,Olive Garden,2024-03-30
Riverside - Tyler Mall,1735,3650 Tyler Street,Riverside,California,925034160,9513519798,33.909459,-117.459838,2008-07-21,CA,Olive Garden,2024-03-30
Rialto,6426,1301 W Renaissance Pkwy,Rialto,California,923762406,9093502015,34.13473374,-117.39703858,2019-08-19,CA,Olive Garden,2024-03-30
Eastvale - The Station,6494,12555 Cantu Galleano Ranch Rd,Eastvale,California,917525077,9513325391,34.00046433717378,-117.55592647917388,2023-12-11,CA,Olive Garden,2024-03-30
Temecula Promenade Town Center,1678,29025 Overland Drive,Temecula,California,925913780,9515061975,33.519537,-117.152685,2007-05-07,CA,Olive Garden,2024-03-30
Ontario Mills Mall,1579,4403 E. Mills Circle,Ontario,California,917645204,9094817676,34.076853,-117.557638,2003-03-24,CA,Olive Garden,2024-03-30
Monclair Plaza,1089,9251 Monte Vista,Montclair,California,917631746,9096210636,34.08572,-117.697841,1988-09-05,CA,Olive Garden,2024-03-30
Ocala - Paddock mall,1015,3363 SW College Road,Ocala,Florida,344744411,3528540900,29.157398,-82.178559,1986-07-14,FL,Olive Garden,2024-03-30
The Villages,1790,3680 Wedgewood Lane,The Villages,Florida,321629318,3522590304,28.92791406,-82.01957534,2009-04-06,FL,Olive Garden,2024-03-30
Inverness,1854,2151 E Gulf To Lake Hwy,Inverness,Florida,344533218,3523440943,28.85618938,-82.39791097,2010-11-08,FL,Olive Garden,2024-03-30
Leesburg,1171,10026 US Highway 441,Leesburg,Florida,347883955,3523650085,28.823494,-81.789909,1990-01-08,FL,Olive Garden,2024-03-30
Gainesville - Florida,4498,2711 Clark Butler Blvd,Gainesville,Florida,326082444,3523725874,29.62823078,-82.38501732,1990-05-07,FL,Olive Garden,2024-03-30
Orange City,1228,2530 Enterprise Road,Orange City,Florida,327637906,3867751511,28.91634,-81.295306,1990-10-29,FL,Olive Garden,2024-03-30
Sanford Town Center,1526,10 Towne Center Circle,Sanford,Florida,327717411,4073225655,28.806101,-81.335552,2000-02-28,FL,Olive Garden,2024-03-30
Altamonte Springs,1702,300 West 436,Altamonte Springs,Florida,327144134,4077720409,28.661216,-81.394788,1985-12-02,FL,Olive Garden,2024-03-30
Orlando - West Colonial Near Ocoee,1175,7300 W Colonial Drive,Orlando,Florida,328186745,4072921411,28.551504,-81.480798,1989-12-04,FL,Olive Garden,2024-03-30
Capitola Mall,6407,3400 Clares Street,Capitola,California,950102548,8314620120,36.97789215,-121.96904418,2018-12-17,CA,Olive Garden,2024-03-30
Harrisonburg,4492,45 Burgess Road,Harrisonburg,Virginia,228019731,5404342326,38.43504277,-78.84833778,2017-05-22,VA,Olive Garden,2024-03-30
Lynchburg - Wards Rd,1615,4038 Wards Road,Lynchburg,Virginia,245022944,4342374395,37.344869,-79.189178,2004-02-16,VA,Olive Garden,2024-03-30
Roanoke - Valley View Mall,1288,1925 Valley View Blvd NW,Roanoke,Virginia,240122002,5403620417,37.307508,-79.964775,1991-12-09,VA,Olive Garden,2024-03-30
Winchester,1669,2590 S. Pleasant Valley Road,Winchester,Virginia,226017010,5406626160,39.153541,-78.175314,2006-03-13,VA,Olive Garden,2024-03-30
Fredericksburg,1542,2811 Plank Road,Fredericksburg,Virginia,224014947,5405480812,38.297592,-77.508794,2001-03-19,VA,Olive Garden,2024-03-30
Short Pump,1896,11829 W Broad St,Richmond,Virginia,232331065,8043609235,37.65323052,-77.62217562,2012-01-23,VA,Olive Garden,2024-03-30
Manassas,1367,7501 Broken Branch Lane,Manassas,Virginia,201092657,7033693635,38.7913,-77.5148,1993-02-15,VA,Olive Garden,2024-03-30
Christiansburg - New River Mall,1746,2590 North Franklin Street,Christiansburg,Virginia,240731000,5403813240,37.16595,-80.423818,2008-01-14,VA,Olive Garden,2024-03-30
Hoover - Riverchase,1050,3450 Galleria Circle,Hoover,Alabama,352442339,2059854696,33.379133,-86.805655,1987-05-25,AL,Olive Garden,2024-03-30
Birmingham - Trussville,1879,3555 Roosevelt Blvd,Birmingham,Alabama,352353188,2056554313,33.60629916,-86.63588859,2011-05-23,AL,Olive Garden,2024-03-30
Alabaster,1740,20 S Colonial Dr #8,Alabaster,Alabama,350074742,2056630945,33.228238,-86.804777,2007-12-03,AL,Olive Garden,2024-03-30
Gardendale - Fieldstown Rd,6458,630 Gayle Street,Gardendale,Alabama,350712606,2056073299,33.65063,-86.82658,2023-07-03,AL,Olive Garden,2024-03-30
Tuscaloosa,1465,2100 McFarland Blvd E,Tuscaloosa,Alabama,354045804,2057500321,33.190993,-87.527095,1994-08-29,AL,Olive Garden,2024-03-30
Oxford,1717,401 Oxford Exchange Blvd,Oxford,Alabama,362033460,2568314911,33.610406,-85.78399,2007-03-12,AL,Olive Garden,2024-03-30
Gadsden AL - Rainbow Dr,6474,835 Rainbow Dr.,Gadsden,Alabama,359015307,2566803168,34.00036,-86.0049,2023-04-24,AL,Olive Garden,2024-03-30
Prattville,1763,2767 Legends Parkway,Prattville,Alabama,360667754,3342851170,32.459247,-86.396615,2008-04-28,AL,Olive Garden,2024-03-30
Montgomery,1221,2700 Eastern Boulevard,Montgomery,Alabama,361171550,3342609220,32.34539,-86.224394,1990-07-16,AL,Olive Garden,2024-03-30
Clearwater - Country Side,1032,29461 US Hwy 19 North,Clearwater,Florida,337612132,7277873988,28.04,-82.73755,1986-12-02,FL,Olive Garden,2024-03-30
Largo Mall,1155,10500 Ulmerton Rd,Largo,Florida,337713512,7275848066,27.894034,-82.785799,1989-05-08,FL,Olive Garden,2024-03-30
Pinellas Park,1069,6700 U.S. Hwy 19,Pinellas Park,Florida,337816242,7275254339,27.833272,-82.681034,1987-09-28,FL,Olive Garden,2024-03-30
Lafayette LA - Acadiana Mall,1319,5743 Johnston Street,Lafayette,Louisiana,705035302,3379881596,30.172884,-92.078546,1992-01-27,LA,Olive Garden,2024-03-30
Lake Charles,1635,1725 West Prien Lake Rd,Lake Charles,Louisiana,706018360,3374747380,30.197235,-93.246497,2004-04-05,LA,Olive Garden,2024-03-30
"Monroe, LA",4488,4781 Pecanland Mall Dr,Monroe,Louisiana,712037005,3183985184,32.495916,-92.059445,1993-09-27,LA,Olive Garden,2024-03-30
Baton Rouge,1599,6911 Siegen Lane,Baton Rouge,Louisiana,708094530,2253681630,30.386418,-91.062711,2002-12-11,LA,Olive Garden,2024-03-30
Shreveport - Youree Drive,1585,7150 Youree Drive,Shreveport,Louisiana,711055107,3187978303,32.4402,-93.717467,1992-11-02,LA,Olive Garden,2024-03-30
Bossier City,1813,2935 Meadow Creek Drive,Bossier City,Louisiana,711115496,3187524038,32.56177537,-93.7097974,2009-07-27,LA,Olive Garden,2024-03-30
Gonzales - I-10 & Hwy 30,6493,2460 W Outfitters Dr,Gonzales,Louisiana,707375158,2252284155,30.209253,-90.948636,2023-12-11,LA,Olive Garden,2024-03-30
Beaumont,1168,585 I-10 North,Beaumont,Texas,777065028,4098329058,30.085797,-94.136913,1989-08-14,TX,Olive Garden,2024-03-30
Hammond,4438,1981 Hammond Square Drive,Hammond,Louisiana,704036157,9855436011,30.48060398,-90.45748674,2012-08-27,LA,Olive Garden,2024-03-30
Lufkin - Garden District,1761,3801 S Medford Drive,Lufkin,Texas,759015753,9366991700,31.31363814,-94.7150811,2008-04-21,TX,Olive Garden,2024-03-30
Grand Rapids - Walker,1431,3030 Alpine Ave Nw,Grand Rapids,Michigan,495448213,6167850087,43.018133,-85.687482,1994-01-24,MI,Olive Garden,2024-03-30
Grand Rapids - 28th Street,1088,3883 28th St SE,Grand Rapids,Michigan,495121803,6169401632,42.913014,-85.571683,1988-05-09,MI,Olive Garden,2024-03-30
Grandville - River Town Crossings Mall,1577,4499 Potomac Ave,Grandville,Michigan,494183083,6164060852,42.883093,-85.7535,2003-03-24,MI,Olive Garden,2024-03-30
Holland - Shops at Westshore,6496,12420 Felch St,Holland,Michigan,494249660,6168206007,42.81802,-86.08995,2024-01-22,MI,Olive Garden,2024-03-30
Muskegon - Lakes Mall,1550,1651 Sternberg Road,Muskegon,Michigan,494448782,2317982333,43.152938,-86.204353,2001-10-08,MI,Olive Garden,2024-03-30
Mt. Pleasant,4471,4070 E Bluegrass Rd,Mount Pleasant,Michigan,488587964,9897720007,43.57434241,-84.76627035,2013-10-07,MI,Olive Garden,2024-03-30
Dayton North - Miller Lane,1588,6722 Miller Lane,Dayton,Ohio,454142661,9378989363,39.844702,-84.190864,1990-07-02,OH,Olive Garden,2024-03-30
Madison - West Towne Mall,1316,7017 Mineral Point Road,Madison,Wisconsin,537171715,6088291158,43.060242,-89.504517,1992-01-27,WI,Olive Garden,2024-03-30
Janesville,1439,2813 Humes Rd.,Janesville,Wisconsin,535450333,6087582848,42.718315,-88.986503,1994-03-07,WI,Olive Garden,2024-03-30
Lithonia - Stonecrest Mall,1594,3011 Turner Hill Road,Lithonia,Georgia,300382529,7704824600,33.6935,-84.089466,2002-11-18,GA,Olive Garden,2024-03-30
Snellville - Scenic Hwy,1886,1565 Scenic Hwy S,Snellville,Georgia,300782129,6783449195,33.887275,-84.010504,2011-12-05,GA,Olive Garden,2024-03-30
Duluth - Gwinnett Place Mall,1070,3565 Mall Blvd,Duluth,Georgia,300964710,7704970594,33.957986,-84.132402,1987-11-02,GA,Olive Garden,2024-03-30
McDonough,1744,1961 Jonesboro Road,McDonough,Georgia,302535972,7708982018,33.463879,-84.219527,2007-12-03,GA,Olive Garden,2024-03-30
Morrow - Southlake Mall,1045,1176 Mount Zion Road,Morrow,Georgia,302602220,7709684800,33.572025,-84.351777,1987-03-23,GA,Olive Garden,2024-03-30
Buford - The Mall of Georgia,1532,3220 Buford Dr,Buford,Georgia,305194956,6785461778,34.064249,-83.990628,2000-05-22,GA,Olive Garden,2024-03-30
Dunwoody - Perimeter Village Shopping Center,1633,4749 Ashford Dunwoody Road,Dunwoody,Georgia,303385570,6784410270,33.933203,-84.33696,2004-04-26,GA,Olive Garden,2024-03-30
Roswell,1338,905 Holcomb Bridge Rd,Roswell,Georgia,300761905,7706420395,34.027415,-84.335354,1992-09-14,GA,Olive Garden,2024-03-30
East Point - Camp Creek,6463,3390 Camp Creek Parkway,East Point,Georgia,303445708,4044398818,33.656887,-84.500676,2022-09-19,GA,Olive Garden,2024-03-30
Smyrna - Cobb Parkway,1136,2467 Cobb Parkway SE,Smyrna,Georgia,300803000,7709338971,33.892057,-84.476451,1989-01-16,GA,Olive Garden,2024-03-30
Columbus - Georgia,1605,5555 G Whittlesey Blvd,Columbus,Georgia,319097213,7066600881,32.544987,-84.947156,2003-03-24,GA,Olive Garden,2024-03-30
Opelika - Tiger Town Shopping Center,1701,2254 Tiger Town Parkway,Opelika,Alabama,368015490,3347491255,32.619455,-85.408044,2006-11-13,AL,Olive Garden,2024-03-30
Newnan - Ashley Park Shopping Centre,1658,212 Newnan Crossing BYP,Newnan,Georgia,30265,7702539470,33.391996,-84.762655,2005-05-23,GA,Olive Garden,2024-03-30
Carrollton Crossroads,4436,1379 South Park Street,Carrollton,Georgia,301174433,7708328885,33.55581574,-85.07431495,2012-07-09,GA,Olive Garden,2024-03-30
Fayetteville GA - Hwy 85,4404,1380 Highway 85 N,Fayetteville,Georgia,302147800,6788174144,33.47764,-84.4388,2012-02-27,GA,Olive Garden,2024-03-30
Albany,4437,2701 Dawson Road,Albany,Georgia,317071610,2298838282,31.61850912,-84.22216139,2012-09-10,GA,Olive Garden,2024-03-30
Warner Robins,1769,3020 Watson Blvd,Warner Robins,Georgia,310938500,4789535006,32.61756258,-83.6929777,2008-05-12,GA,Olive Garden,2024-03-30
Bolingbrook - Country Aire Plaza,1549,215 S. Weber Road,Bolingbrook,Illinois,604901502,6307595191,41.692744,-88.123981,2001-07-23,IL,Olive Garden,2024-03-30
Oswego - Prairie Market Mall,1758,2620 Route 34,Oswego,Illinois,605438406,6305513219,41.702654,-88.309399,2008-06-16,IL,Olive Garden,2024-03-30
Joliet - Plainfield IL - Lincoln Hwy,6475,16337 S Boulevard Place,Plainfield,Illinois,605864404,8152672314,41.58594,-88.17269,2023-04-10,IL,Olive Garden,2024-03-30
Naperville - Fox Valley Mall,1135,620 S Route 59,Naperville,Illinois,605400900,6303552818,41.761312,-88.205282,1989-03-20,IL,Olive Garden,2024-03-30
St. Charles - Charlestown Mall,1457,3785 E. Main St.,Saint Charles,Illinois,601742465,6304431122,41.920664,-88.269518,1994-07-25,IL,Olive Garden,2024-03-30
San Antonio - Windcrest,1077,7920 N IH 35,San Antonio,Texas,782182206,2106505883,29.50755,-98.397349,1987-12-14,TX,Olive Garden,2024-03-30
Live Oak Town Center,6436,2150 IKEA-RBFCU Pkway,Live Oak,Texas,782332795,2106460887,29.563668,-98.341083,2020-08-10,TX,Olive Garden,2024-03-30
San Antonio TX - San Pedro Crossing,6505,315 Northwest Loop 410,San Antonio,Texas,78216,0,29.521339,-98.497218,2024-08-26,TX,Olive Garden,2024-03-30
San Antonio - Bitters Rd-Hwy 281N,1162,13730 San Pedro,San Antonio,Texas,782324332,2104943411,29.566008,-98.480574,1989-05-22,TX,Olive Garden,2024-03-30
San Antonio - Military Drive,6416,3147 SE Military Drive,San Antonio,Texas,782233813,2103330951,29.35236246,-98.43816175,2018-05-07,TX,Olive Garden,2024-03-30
San Antonio - Stone Oak and Hwy 281,1862,22503 N US Hwy 281,San Antonio,Texas,782587630,2104819964,29.65067,-98.45125,2011-05-23,TX,Olive Garden,2024-03-30
San Antonio - Zarzamora and IH35,1799,7811 S IH 35,San Antonio,Texas,782241480,2109212100,29.351373,-98.534853,2009-03-30,TX,Olive Garden,2024-03-30
San Antonio - Ingram Park Mall,1147,6155 NW Loop 410,San Antonio,Texas,782383302,2105207935,29.471121,-98.615258,1989-02-13,TX,Olive Garden,2024-03-30
San Antonio - IH10 and W. Loop 1604,1631,15814 Interstate 10 West,San Antonio,Texas,782579515,2105612795,29.592456,-98.600295,2005-06-27,TX,Olive Garden,2024-03-30
San Antonio TX - Silverado Station,6502,11527 W Loop 1604 N,San Antonio,Texas,78254,2105873289,29.55182,-98.67033,2024-04-15,TX,Olive Garden,2024-03-30
Rocky Mount,1789,1140 N. Wesleyan Blvd,Rocky Mount,North Carolina,278041829,2524421329,35.97271,-77.805899,2009-05-18,NC,Olive Garden,2024-03-30
Wilson,1855,3401 Raleigh Road Parkway W,Wilson,North Carolina,278968218,2522061399,35.74314923,-77.96407722,2010-10-11,NC,Olive Garden,2024-03-30
Greenville - North Carolina,1643,540 S.E. Greenville Blvd,Greenville,North Carolina,278586735,2523217498,35.583213,-77.372111,2004-11-15,NC,Olive Garden,2024-03-30
Berkeley Mall,1882,803 N Berkeley Blvd,Goldsboro,North Carolina,275343411,9197784140,35.37745203,-77.93956326,2012-10-22,NC,Olive Garden,2024-03-30
Wake Forest,1831,12600 Capital Blvd,Wake Forest,North Carolina,275877489,9195561007,35.988384,-78.531528,2010-08-09,NC,Olive Garden,2024-03-30
Raleigh,1378,4805 Capital Blvd,Raleigh,North Carolina,276164483,9199548557,35.850984,-78.581461,1993-03-08,NC,Olive Garden,2024-03-30
Cary,1314,1809 Walnut Street,Cary,North Carolina,275189201,9192339714,35.760581,-78.742763,1992-03-23,NC,Olive Garden,2024-03-30
Raleigh - Brier Creek,6440,8115 Brier Creek Parkway,Raleigh,North Carolina,276177598,9194060183,35.90999142,-78.78342199,2020-10-12,NC,Olive Garden,2024-03-30
Holly Springs Towne Center,4441,107 Grand Hill Place,Holly Springs,North Carolina,275404415,9195522237,35.65858208,-78.84945807,2013-08-12,NC,Olive Garden,2024-03-30
Jacksonville - North Carolina,1733,1415 Western Blvd,Jacksonville,North Carolina,285466758,9103461887,34.788403,-77.404331,2007-11-19,NC,Olive Garden,2024-03-30
Central Park Commons,6454,3290 Central Park Village Drive,Eagan,Minnesota,551212055,9523247021,44.83791943,-93.16806881,2022-07-18,MN,Olive Garden,2024-03-30
Bloomington,6435,4701 American Blvd W,Bloomington,Minnesota,554371125,9528066384,44.856909,-93.340203,1988-06-28,MN,Olive Garden,2024-03-30
Roseville - Snelling and County Road C,1245,1525 County Road C,Roseville,Minnesota,551133103,6516389557,45.021466,-93.16515,1991-03-25,MN,Olive Garden,2024-03-30
Minnetonka,6428,11390 Wayzata Blvd,Minnetonka,Minnesota,553052002,9524260943,44.97187819,-93.42370206,1993-11-15,MN,Olive Garden,2024-03-30
Burnsville,1268,1451 County Road 42 W,Burnsville,Minnesota,553066200,9528984200,44.745799,-93.298758,1991-06-03,MN,Olive Garden,2024-03-30
Maplewood,1200,1749 Beam Avenue,Maplewood,Minnesota,551091128,6517730200,45.028693,-93.026315,1990-04-16,MN,Olive Garden,2024-03-30
Oakdale,1672,8367 3rd Street N.,Oakdale,Minnesota,551285440,6512641447,44.950216,-92.934967,2005-12-05,MN,Olive Garden,2024-03-30
Coon Rapids,1459,150 Coon Rapids Blvd.,Coon Rapids,Minnesota,554335811,7637861089,45.136484,-93.272053,1994-09-26,MN,Olive Garden,2024-03-30
Maple Grove,1534,12520 Elm Creek Blvd N,Maple Grove,Minnesota,553697050,7634209699,45.094777,-93.439347,2000-05-22,MN,Olive Garden,2024-03-30
Mankato - River Hills Mall,1704,1880 Adams Street,Mankato,Minnesota,560014865,5073457585,44.17109,-93.949897,2006-10-16,MN,Olive Garden,2024-03-30
Pooler Parkway,4472,280 Pooler Pkway,Pooler,Georgia,313224022,9127481223,32.1406,-81.25092,2013-09-16,GA,Olive Garden,2024-03-30
Savannah - Abercorn Street,1529,11333 Abercorn St,Savannah,Georgia,314191825,9129619009,31.980543,-81.147307,2000-04-10,GA,Olive Garden,2024-03-30
Natomas Sacramento - The Promenade Shopping Mall,6466,3511 N Freeway Blvd,Sacramento,California,958342903,2794993274,38.64042,-121.50225,2022-08-29,CA,Olive Garden,2024-03-30
Elk Grove,6437,7480 Elk Grove Blvd,Elk Grove,California,95757,9166831452,38.408287,-121.417134,2020-03-16,CA,Olive Garden,2024-03-30
Sacramento - Arden Mall,1241,1780 Challenge Way,Sacramento,California,958155006,9166498305,38.597351,-121.425358,1991-12-16,CA,Olive Garden,2024-03-30
