storeNumber,facilityType,phone,name,region,company,street,city,state,postalCode,country,open_date,latitude,longitude,state_name
214,NIKE_OWNED_STORE,16019362154,Nike Factory Store - Pearl,NORTH_AMERICA,Nike,Outlets of Mississippi,Pearl,MS,39208-9249,USA,2013-11-13,32.273391,-90.153847,Mississippi
141,NIKE_OWNED_STORE,16082533247,Nike Factory Store - Wisconsin Dells,NORTH_AMERICA,Nike,Wisconsin Dells Outlet Center,Baraboo,WI,53913-9535,USA,2006-08-06,43.571453,-89.786403,Wisconsin
293,NIKE_OWNED_STORE,15044868067,Nike Community Store - Elmwood,NORTH_AMERICA,Nike,Elmwood Shopping Center,Elmwood,LA,70123-7506,USA,2021-04-14,29.962385,-90.185896,Louisiana
21,NIKE_OWNED_STORE,19206994950,Nike Clearance Store - Johnson Creek,NORTH_AMERICA,Nike,"575 W. Linmar Lane, Suite A10",Johnson Creek,WI,53038-9543,USA,1998-05-16,43.087778,-88.765188,Wisconsin
122,NIKE_OWNED_STORE,16305859568,Nike Factory Store - Aurora,NORTH_AMERICA,Nike,Chicago Premium Outlets,Aurora,IL,60502-2905,USA,2004-05-19,41.800225,-88.272199,Illinois
437,NIKE_OWNED_STORE,13312313541,Nike Well Collective - Naperville,NORTH_AMERICA,Nike,217 S. Main St,Naperville,IL,60540-5318,USA,2021-11-04,41.7725436,-88.1497645,Illinois
74,NIKE_OWNED_STORE,12288222533,Nike Factory Store - Gulfport,NORTH_AMERICA,Nike,Gulfport Premium Outlets,Gulfport,MS,39503-4234,USA,1997-11-21,30.428542,-89.100351,Mississippi
70,NIKE_OWNED_STORE,19202321002,Nike Factory Store - Oshkosh,NORTH_AMERICA,Nike,The Outlet Shoppes at Oshkosh,Oshkosh,WI,54904-9008,USA,2008-10-14,43.985282,-88.584373,Wisconsin
99,NIKE_OWNED_STORE,16309280242,Nike Factory Store - Oak Brook,NORTH_AMERICA,Nike,"2155 W 22nd Street, Suite 5",Oak Brook,IL,60523-1758,USA,2018-06-21,41.845133,-87.96955,Illinois
136,NIKE_OWNED_STORE,18478550857,Nike Clearance Store - Gurnee,NORTH_AMERICA,Nike,Gurnee Mills,Gurnee,IL,60031-4548,USA,2006-05-19,42.38883,-87.956999,Illinois
208,NIKE_OWNED_STORE,18479282720,Nike Factory Store - Rosemont,NORTH_AMERICA,Nike,Fashion Outlets of Chicago - Rosemont,Rosemont,IL,60018-5326,USA,2013-08-01,41.974881,-87.868099,Illinois
25,NIKE_OWNED_STORE,12628577333,Nike Factory Store - Pleasant Prairie,NORTH_AMERICA,Nike,Pleasant Prairie Premium Outlets,Pleasant Prairie,WI,53158-1710,USA,1985-10-01,42.518458,-87.949829,Wisconsin
457,NIKE_OWNED_STORE,14142698605,Nike Well Collective - Bayshore,NORTH_AMERICA,Nike,5695 N Centerpark Way #N127,Glendale,WI,53217-4539,USA,2022-03-31,43.1208831,-87.9152165,Wisconsin
160,NIKE_OWNED_STORE,17738465460,Nike Unite - South Chicago,NORTH_AMERICA,Nike,Chatham Village Square,Chicago,IL,60619-6116,USA,2007-05-24,41.739983,-87.605349,Illinois
60,NIKE_OWNED_STORE,13126426363,Nike Chicago,NORTH_AMERICA,Nike,669 N Michigan Avenue,Chicago,IL,60611-2801,USA,2012-09-24,41.894438,-87.623737,Illinois
460,NIKE_OWNED_STORE,16153691357,Nike Well Collective - Downtown Nashville,NORTH_AMERICA,Nike,5046 Broadway Place,Nashville,TN,37203-5765,USA,2022-05-26,36.1605848,-86.7799383,Tennessee
137,NIKE_OWNED_STORE,12198791320,Nike Factory Store - Michigan City,NORTH_AMERICA,Nike,Lighthouse Place Premium Outlets,Michigan City,IN,46360-3462,USA,2006-05-31,41.715567,-86.907563,Indiana
172,NIKE_OWNED_STORE,16155140204,Nike Factory Store - Nashville,NORTH_AMERICA,Nike,Opry Mills Mall,Nashville,TN,37214-2433,USA,2001-11-02,36.20399,-86.691497,Tennessee
490,NIKE_OWNED_STORE,16292130720,Nike Unite - Antioch,NORTH_AMERICA,Nike,"4060 Cane Ridge Parkway,#301",Antioch,TN,37013-5552,USA,2023-10-26,36.0339736,-86.643811,Tennessee
90,NIKE_OWNED_STORE,12519702900,Nike Factory Store - Foley,NORTH_AMERICA,Nike,"2601 S Mckenzie St., Suite 300",Foley,AL,36535-3465,USA,1998-05-09,30.375701,-87.679365,Alabama
473,NIKE_OWNED_STORE,12055730419,Nike Well Collective - Birmingham,NORTH_AMERICA,Nike,240 Summit Blvd Suite 100,Birmingham,AL,35243-3101,USA,2023-08-03,33.4465154,-86.7296322,Alabama
459,NIKE_OWNED_STORE,317-222-1293,Nike Well Collective - Keystone,NORTH_AMERICA,Nike,"8701 Keystone Crossing, Space 25C",Indianapolis,IN,46240,USA,2022-05-26,39.9138858,-86.108717,Indiana
6,NIKE_OWNED_STORE,18125268111,Nike Factory Store - Edinburgh,NORTH_AMERICA,Nike,Edinburgh Premium Outlets,Edinburgh,IN,46124-9133,USA,1998-07-04,39.308455,-85.960796,Indiana
570,NIKE_OWNED_STORE,15022120974,Nike Well Collective - Louisville,NORTH_AMERICA,Nike,"7900 Shelbyville Rd, C02",Louisville,KY,40222-5475,USA,2023-05-25,38.2470462,-85.6099166,Kentucky
233,NIKE_OWNED_STORE,15027225776,Nike Factory Store - Simpsonville,NORTH_AMERICA,Nike,The Outlet Shoppes of the Bluegrass,Simpsonville,KY,40067-7688,USA,2014-07-03,38.206633,-85.352472,Kentucky
197,NIKE_OWNED_STORE,16165830754,Nike Factory Store - Grand Rapids,NORTH_AMERICA,Nike,Tanger Outlet Center - Grand Rapids,Byron Center,MI,49315-7004,USA,2018-01-01,42.808985,-85.670428,Michigan
89,NIKE_OWNED_STORE,18506500111,Nike Factory Store - Destin,NORTH_AMERICA,Nike,Silver Sands Factory Store,Destin,FL,32550-7120,USA,1999-05-29,30.3798228,-86.3516468,Florida
521,NIKE_OWNED_STORE,18593096346,Nike Well Collective - Lexington,NORTH_AMERICA,Nike,"4084 Finn Way, Suite 130",Lexington,KY,40517-8388,USA,2022-11-17,37.9760381,-84.5277088,Kentucky
58,NIKE_OWNED_STORE,17066252626,Nike Factory Store - Calhoun,NORTH_AMERICA,Nike,Calhoun Premium Outlets,Calhoun,GA,30701-3959,USA,1992-10-14,34.462794,-84.918531,Georgia
378,NIKE_OWNED_STORE,15135394645,Nike Factory Store - Cincinnati,NORTH_AMERICA,Nike,Cincinnati Premium Outlets,Monroe,OH,45050-1835,USA,2009-08-06,39.433715,-84.33659,Ohio
343,NIKE_OWNED_STORE,16784452487,Nike Factory Store - Atlanta Woodstock,NORTH_AMERICA,Nike,The Outlet Shoppes at Atlanta,Woodstock,GA,30188-0027,USA,2013-07-17,34.119944,-84.525662,Georgia
296,NIKE_OWNED_STORE,18656227656,Nike Unite - Knoxville,NORTH_AMERICA,Nike,11275 Parkside Dr.,Knoxville,TN,37934-1964,USA,2022-04-28,35.9017993,-84.1571155,Tennessee
272,NIKE_OWNED_STORE,404-835-1138,Nike Unite - Atlantic Station,NORTH_AMERICA,Nike,"1381 Market Street NW., Suite 13100",Atlanta,GA,30363,USA,2020-11-19,33.792737,-84.394719,Georgia
201,NIKE_OWNED_STORE,14048465549,Nike Atlanta,NORTH_AMERICA,Nike,Lenox Square,Atlanta,GA,30326-1162,USA,2013-10-30,33.847986,-84.362967,Georgia
32,NIKE_OWNED_STORE,15175526453,Nike Factory Store - Howell,NORTH_AMERICA,Nike,Tanger Outlet Center - Howell,Howell,MI,48855-8288,USA,1998-10-24,42.620401,-83.996314,Michigan
428,NIKE_OWNED_STORE,14043801584,Nike Well Collective - Ponce City Market,NORTH_AMERICA,Nike,675 Ponce De Leon Ave NE E-184,Atlanta,GA,30308-1884,USA,2021-11-18,33.7717707,-84.3655446,Georgia
436,NIKE_OWNED_STORE,18003446453,Nike Well Collective - Alpharetta,NORTH_AMERICA,Nike,7110 Avalon Blvd,Alpharetta,GA,30009-2450,USA,2021-12-09,34.0710636,-84.2744985,Georgia
14,NIKE_OWNED_STORE,17062167779,Nike Factory Store - Dawsonville,NORTH_AMERICA,Nike,North Georgia Premium Outlets,Dawsonville,GA,30534-8098,USA,1999-09-04,34.359489,-84.048611,Georgia
9,NIKE_OWNED_STORE,16788475140,Nike Factory Store - Lawrenceville,NORTH_AMERICA,Nike,Sugarloaf Mills,Lawrenceville,GA,30043-7857,USA,2008-04-29,33.98079,-84.080263,Georgia
34,NIKE_OWNED_STORE,19896246100,Nike Factory Store - Birch Run,NORTH_AMERICA,Nike,Birch Run Premium Outlets,Birch Run,MI,48415-9411,USA,1989-09-24,43.247868,-83.776267,Michigan
142,NIKE_OWNED_STORE,17709146877,Nike Factory Store - Locust Grove,NORTH_AMERICA,Nike,Tanger Outlet Center - Locust Grove,Locust Grove,GA,30248-3654,USA,2007-03-04,33.347953,-84.122148,Georgia
107,NIKE_OWNED_STORE,18657747743,Nike Factory Store - Sevierville,NORTH_AMERICA,Nike,Tanger Outlet Center - Sevierville,Sevierville,TN,37862-6867,USA,2001-07-13,35.833467,-83.570423,Tennessee
23,NIKE_OWNED_STORE,18654537907,Nike Clearance Store - Pigeon Forge,NORTH_AMERICA,Nike,The Tower Shops at the Mountain Mile,Pigeon Forge,TN,37863-3475,USA,1986-03-01,35.8065414,-83.5703607,Tennessee
338,NIKE_OWNED_STORE,12488589291,Nike Clearance Store - Auburn Hills,NORTH_AMERICA,Nike,Great Lakes Crossing,Auburn Hills,MI,48326-1282,USA,2008-05-29,42.703204,-83.29992,Michigan
487,NIKE_OWNED_STORE,12482510180,Nike Somerset Collection North,NORTH_AMERICA,Nike,"2800 W Big Beaver Rd, R236",Troy,MI,48084-3219,USA,2023-09-07,42.5629218,-83.1841279,Michigan
217,NIKE_OWNED_STORE,17409652887,Nike Factory Store - Columbus,NORTH_AMERICA,Nike,Outlets at Columbus,Sunbury,OH,43074-7536,USA,2016-05-23,40.259741,-82.925652,Ohio
432,NIKE_OWNED_STORE,13802040531,Nike Well Collective - Easton,NORTH_AMERICA,Nike,Easton Town Center,Columbus,OH,43219-6067,USA,2021-07-01,40.049246,-82.916049,Ohio
2,NIKE_OWNED_STORE,17063355502,Nike Unite - Commerce,NORTH_AMERICA,Nike,800 Steven B Tanger Blvd #810,Commerce,GA,30529-3582,USA,1998-01-24,34.2489384,-83.4754408,Georgia
251,NIKE_OWNED_STORE,13139653319,Nike Community Store - Detroit,NORTH_AMERICA,Nike,1261 Woodward Ave,Detroit,MI,48226-2006,USA,2016-05-26,42.333655,-83.048669,Michigan
242,NIKE_OWNED_STORE,18286652787,Nike Factory Store - Asheville,NORTH_AMERICA,Nike,Asheville Outlets,Asheville,NC,28806-2349,USA,2015-04-30,35.52923,-82.602941,North Carolina
465,NIKE_OWNED_STORE,14403850145,Nike Well Collective - Crocker Park,NORTH_AMERICA,Nike,236 Main Street,Westlake,OH,44145-8146,USA,2023-04-06,41.456221,-81.9518489,Ohio
452,NIKE_OWNED_STORE,14406008303,Nike Well Collective - Pinecrest,NORTH_AMERICA,Nike,"400 Park Ave., Ste 172",Orange Village,OH,44122-4234,USA,2022-01-27,41.4512,-81.48563,Ohio
144,NIKE_OWNED_STORE,13309953080,Nike Factory Store - Aurora Farms,NORTH_AMERICA,Nike,Aurora Farms Premium Outlets,Aurora,OH,44202-7804,USA,2006-10-25,41.30127,-81.339789,Ohio
69,NIKE_OWNED_STORE,18644877820,Nike Factory Store - Gaffney,NORTH_AMERICA,Nike,Gaffney Premium Outlets,Gaffney,SC,29341-3321,USA,2006-10-11,35.081032,-81.713557,South Carolina
203,NIKE_OWNED_STORE,17045040876,Nike Factory Store - Charlotte,NORTH_AMERICA,Nike,Charlotte Premium Outlets,Charlotte,NC,28278-0066,USA,2014-07-31,35.16942,-80.96949,North Carolina
261,NIKE_OWNED_STORE,13523727213,Nike Factory Store - Gainesville,NORTH_AMERICA,Nike,Celebration Pointe,Gainesville,FL,32608-5079,USA,2018-04-19,29.624862,-82.396078,Florida
175,NIKE_OWNED_STORE,17049791230,Nike Clearance Store - Concord,NORTH_AMERICA,Nike,Concord Mills,Concord,NC,28027-6460,USA,2004-08-06,35.370556,-80.723812,North Carolina
166,NIKE_OWNED_STORE,17242287357,Nike Factory Store - Pittsburgh,NORTH_AMERICA,Nike,Tanger Outlet Center - Pittsburgh,Washington,PA,15301-7939,USA,2008-09-01,40.217942,-80.211772,Pennsylvania
65,NIKE_OWNED_STORE,17247485138,Nike Factory Store - Grove City,NORTH_AMERICA,Nike,Grove City Premium Outles,Grove City,PA,16127-3356,USA,1995-02-27,41.139517,-80.157792,Pennsylvania
226,NIKE_OWNED_STORE,19124506444,Nike Factory Store - Savannah,NORTH_AMERICA,Nike,Outlet Mall of Georgia,Pooler,GA,31322-3502,USA,2015-04-16,32.134402,-81.242571,Georgia
235,NIKE_OWNED_STORE,18139091573,Nike Factory Store - Tampa,NORTH_AMERICA,Nike,Tampa Premium Outlets,Lutz,FL,33559-6839,USA,2015-10-29,28.190071,-82.390006,Florida
431,NIKE_OWNED_STORE,18133331718,Nike Well Collective - Hyde Park Village,NORTH_AMERICA,Nike,1520 W Swann Ave,Tampa,FL,33606-0000,USA,2021-12-13,27.9371778,-82.4753608,Florida
63,NIKE_OWNED_STORE,19417220096,Nike Factory Store - Ellenton,NORTH_AMERICA,Nike,Ellenton Premium Outlets,Ellenton,FL,34222-4122,USA,1991-10-10,27.535599,-82.507728,Florida
92,NIKE_OWNED_STORE,18438376453,Nike Factory Store - Bluffton,NORTH_AMERICA,Nike,Tanger Outlet Center - Hilton Head,Bluffton,SC,29910-6583,USA,1997-04-11,32.239708,-80.819466,South Carolina
102,NIKE_OWNED_STORE,19048105584,Nike Factory Store - St Augustine,NORTH_AMERICA,Nike,St. Augustine Premium Outlets,St Augustine,FL,32092-0763,USA,1999-07-31,29.926465,-81.418945,Florida
284,NIKE_OWNED_STORE,14075544675,Nike Factory Store - Winter Garden,NORTH_AMERICA,Nike,Winter Garden Village,Winter Garden,FL,34787-7006,USA,2018-12-13,28.524416,-81.583771,Florida
165,NIKE_OWNED_STORE,17162985615,Nike Clearance Store - Niagara Falls,NORTH_AMERICA,Nike,Fashion Outlets of Niagara Falls,Niagara Falls,NY,14304-1772,USA,2008-06-10,43.097456,-78.980625,New York
101,NIKE_OWNED_STORE,18437443966,Nike Factory Store - Charleston,NORTH_AMERICA,Nike,Tanger Outlet Center - Charleston,North Charleston,SC,29418-6958,USA,2006-08-02,32.872686,-80.016893,South Carolina
97,NIKE_OWNED_STORE,14073971979,Nike Factory Store - Celebration,NORTH_AMERICA,Nike,Shoppes at the Parkway - Celebration,Kissimmee,FL,34747-4512,USA,1999-03-13,28.333939,-81.530637,Florida
96,NIKE_OWNED_STORE,14072393663,Nike Factory Store - Orlando Vineland,NORTH_AMERICA,Nike,Orlando Premium Outlets,Orlando,FL,32819-8617,USA,2000-05-25,28.386173,-81.493748,Florida
370,NIKE_OWNED_STORE,19195632172,Nike Factory Store - Mebane,NORTH_AMERICA,Nike,Tanger Outlet Center - Mebane,Mebane,NC,27302-7648,USA,2010-11-05,36.074074,-79.266198,North Carolina
88,NIKE_OWNED_STORE,14073519400,Nike Factory Store - Orlando International,NORTH_AMERICA,Nike,4977 International Dr. #3B-13,Orlando,FL,32819-6234,USA,1997-12-12,28.476218,-81.449292,Florida
204,NIKE_OWNED_STORE,14073523488,Nike Clearance Store - Orlando Marketplace,NORTH_AMERICA,Nike,Orlando Premium Outlets-International Dr,Orlando,FL,32819-9426,USA,2015-05-07,28.468446,-81.451038,Florida
128,NIKE_OWNED_STORE,14074770463,Nike Factory Store - Lake Buena Vista,NORTH_AMERICA,Nike,15609 State Road 535,Orlando,FL,32821-5608,USA,2005-09-13,28.350281,-81.485672,Florida
249,NIKE_OWNED_STORE,13862742849,Nike Factory Store - Daytona Beach,NORTH_AMERICA,Nike,Tanger Outlet Center - Daytona Beach,Daytona Beach,FL,32117-7102,USA,2016-11-18,29.212485,-81.098858,Florida
291,NIKE_OWNED_STORE,14073960500,Nike Clearance Store - Kissimmee,NORTH_AMERICA,Nike,2671 W Osceola Pkwy Unit B,Kissimmee,FL,34741-0604,USA,2009-05-16,28.343809,-81.42905,Florida
280,NIKE_OWNED_STORE,13212060347,Nike Unite - Waterford Lakes,NORTH_AMERICA,Nike,481 N Alafaya Trail,Orlando,FL,32828-7017,USA,2022-04-28,28.5536546,-81.2036868,Florida
458,NIKE_OWNED_STORE,19193420116,Nike Well Collective - Cary,NORTH_AMERICA,Nike,"4 Fenton Main St, Suite #140",Cary,NC,27511-7746,USA,2022-06-02,35.780401,-78.757648,North Carolina
67,NIKE_OWNED_STORE,12399484100,Nike Factory Store - Estero,NORTH_AMERICA,Nike,Miromar Outlets,Estero,FL,33928-9431,USA,1998-10-31,26.435924,-81.777071,Florida
78,NIKE_OWNED_STORE,18439030110,Nike Factory Store - Myrtle Beach,NORTH_AMERICA,Nike,Tanger Outlet Center - Myrtle Beach,Myrtle Beach,SC,29579-0963,USA,1998-03-28,33.752314,-78.960667,South Carolina
40,NIKE_OWNED_STORE,19199896100,Nike Factory Store - Smithfield,NORTH_AMERICA,Nike,Carolina Premium Outlets - Smithfield,Smithfield,NC,27577-6039,USA,1990-06-23,35.510884,-78.312373,North Carolina
71,NIKE_OWNED_STORE,17037713060,Nike Factory Store - Leesburg,NORTH_AMERICA,Nike,241 Fort Evans Rd. NE  #510,Leesburg,VA,20176-4040,USA,1998-10-31,39.105181,-77.538896,Virginia
448,NIKE_OWNED_STORE,17039883349,Nike Unite - Fairfax,NORTH_AMERICA,Nike,13027 Fair Lakes Shopping Cent,Fairfax,VA,22033-5179,USA,2022-05-26,38.8567484,-77.3912056,Virginia
256,NIKE_OWNED_STORE,13015407369,Nike Factory Store - Clarksburg,NORTH_AMERICA,Nike,Clarksburg Premium Outlets,Clarksburg,MD,20871-6386,USA,2016-10-27,39.2282095,-77.2858523,Maryland
174,NIKE_OWNED_STORE,17034974513,Nike Clearance Store - Woodbridge,NORTH_AMERICA,Nike,Potomac Mills,Woodbridge,VA,22192-4656,USA,2016-06-20,38.643405,-77.296179,Virginia
538,NIKE_OWNED_STORE,12402048063,Nike Well Collective - Bethesda,NORTH_AMERICA,Nike,7117 Arlington Road Space U,Bethesda,MD,20814-7910,USA,2023-05-25,38.9811722,-77.0968706,Maryland
138,NIKE_OWNED_STORE,13155394094,Nike Factory Store - Finger Lakes,NORTH_AMERICA,Nike,Waterloo Premium Outlets,Waterloo,NY,13165-5569,USA,2006-05-24,42.956824,-76.91868,New York
468,NIKE_OWNED_STORE,13019604100,Nike Unite - Silver Spring,NORTH_AMERICA,Nike,910 Ellsworth Dr.,Silver Spring,MD,20910-4401,USA,2023-02-23,38.9959644,-77.0259056,Maryland
482,NIKE_OWNED_STORE,12029254856,Nike Unite - H Street,NORTH_AMERICA,Nike,700 H Street Northeast,Washington,DC,20002-3627,USA,2023-02-16,38.9004204,-76.9959563,
212,NIKE_OWNED_STORE,13018391302,Nike Factory Store - National Harbor,NORTH_AMERICA,Nike,Tanger Outlet Center - National Harbor,National Harbor,MD,20745-4715,USA,2013-11-21,38.794257,-77.000626,Maryland
420,NIKE_OWNED_STORE,12402066501,Nike Unite - Glenarden,NORTH_AMERICA,Nike,Suite 518,Lanham,MD,20706-1637,USA,2023-03-09,38.92127,-76.84644,Maryland
481,NIKE_OWNED_STORE,17173125203,Nike Unite - Hershey,NORTH_AMERICA,Nike,137 Outlet Square,Hershey,PA,17033-2747,USA,2023-03-02,40.2960731,-76.6464604,Pennsylvania
27,NIKE_OWNED_STORE,14103791587,Nike Factory Store - Hanover,NORTH_AMERICA,Nike,Arundel Mills,Hanover,MD,21076-1288,USA,2008-11-20,39.159573,-76.724113,Maryland
703,NIKE_OWNED_STORE,15612144582,Nike Palm Beach Gardens,NORTH_AMERICA,Nike,Gardens Mall,Palm Beach Gardens,FL,33410-2813,USA,2023-11-09,26.8484939,-80.0845617,Florida
213,NIKE_OWNED_STORE,+1 (561) 615-4050,Nike Factory Store - West Palm Beach,NORTH_AMERICA,Nike,Palm Beach Fashion Outlets,West Palm Beach,FL,33401,USA,2018-01-01,26.724615,-80.086923,Florida
131,NIKE_OWNED_STORE,19548370329,Nike Factory Store - Sawgrass Mills,NORTH_AMERICA,Nike,12801 W Sunrise Blvd.  #1005,Sunrise,FL,33323-4007,USA,2006-05-25,26.151941,-80.321429,Florida
220,NIKE_OWNED_STORE,19544417556,Nike Factory Store - Pembroke Pines,NORTH_AMERICA,Nike,The Shops at Pembroke Gardens,Pembroke Pines,FL,33027-1450,USA,2016-08-18,26.00232,-80.336404,Florida
41,NIKE_OWNED_STORE,17575652963,Nike Factory Store - Williamsburg  VA,NORTH_AMERICA,Nike,Williamsburg Premium Outlets,Williamsburg,VA,23188-1941,USA,1990-09-01,37.318265,-76.737637,Virginia
405,NIKE_OWNED_STORE,18008066453,Nike Clearance Store - White Marsh,NORTH_AMERICA,Nike,8115A Honeygo Blvd.,Baltimore,MD,21236-8211,USA,2022-06-23,39.3709108,-76.4671984,Maryland
185,NIKE_OWNED_STORE,13057168760,Nike Factory Store - Miami,NORTH_AMERICA,Nike,Dolphin Mall,Miami,FL,33172-6904,USA,2008-09-22,25.787419,-80.382766,Florida
66,NIKE_OWNED_STORE,13052487991,Nike Clearance Store - Florida City,NORTH_AMERICA,Nike,Florida Keys Premium Outlets,Florida City,FL,33034-3526,USA,1995-06-14,25.45236,-80.473683,Florida
469,NIKE_OWNED_STORE,19542376619,Nike Clearance Store - Dania Pointe,NORTH_AMERICA,Nike,166 Sunset Drive,Dania Beach,FL,33004-2153,USA,2022-12-08,26.0537874,-80.1612006,Florida
116,NIKE_OWNED_STORE,17173961040,Nike Factory Store - Lancaster,NORTH_AMERICA,Nike,Tanger Outlet Center - Lancaster,Lancaster,PA,17602-1467,USA,2003-05-16,40.025692,-76.220268,Pennsylvania
478,NIKE_OWNED_STORE,13059219872,Nike Aventura,NORTH_AMERICA,Nike,19501 Biscayne Blvd,Aventura,FL,33180-2342,USA,2022-11-17,25.9568456,-80.1410266,Florida
444,NIKE_OWNED_STORE,17862060518,Nike Well Collective - Brickell,NORTH_AMERICA,Nike,701 S. Miami Ave. #121-A,Miami,FL,33131-1948,USA,2022-08-04,25.76685,-80.1927749,Florida
381,NIKE_OWNED_STORE,13056740352,Nike Miami,NORTH_AMERICA,Nike,1035 Lincoln Road,Miami Beach,FL,33139-2501,USA,2017-01-01,25.790827,-80.139735,Florida
33,NIKE_OWNED_STORE,14108274982,Nike Factory Store - Queenstown,NORTH_AMERICA,Nike,Queenstown Premium Outlets,Queenstown,MD,21658-1398,USA,2008-04-14,38.9821976,-76.1610431,Maryland
224,NIKE_OWNED_STORE,17577760694,Nike Factory Store - Norfolk,NORTH_AMERICA,Nike,Norfolk Premium Outlets,Norfolk,VA,23502-5521,USA,2017-06-29,36.881997,-76.199543,Virginia
442,NIKE_OWNED_STORE,18003446453,Nike Well Collective - Virginia Beach,NORTH_AMERICA,Nike,4537 Main St.,Virginia Beach,VA,23462-3272,USA,2021-12-09,36.8419404,-76.1329135,Virginia
168,NIKE_OWNED_STORE,16103271748,Nike Factory Store - Pottstown,NORTH_AMERICA,Nike,Philadelphia Premium Outlets,Pottstown,PA,19464-7822,USA,2007-11-08,40.235513,-75.568101,Pennsylvania
635,NIKE_OWNED_STORE,12674480103,Nike King of Prussia,NORTH_AMERICA,Nike,Suite 2336,King of Prussia,PA,19406-2953,USA,2023-10-20,40.0873707,-75.3911012,Pennsylvania
120,NIKE_OWNED_STORE,15706889457,Nike Factory Store - Tannersville,NORTH_AMERICA,Nike,The Crossings Premium Outlets,Tannersville,PA,18372-7918,USA,2006-10-08,41.050065,-75.314549,Pennsylvania
429,NIKE_OWNED_STORE,16102851439,Nike Well Collective - Ardmore,NORTH_AMERICA,Nike,61 Anderson Avenue,Ardmore,PA,19003-2423,USA,2021-11-11,40.0092062,-75.2899672,Pennsylvania
281,NIKE_OWNED_STORE,1-267-460-0360,Nike Factory Store - Downtown Philadelphia,NORTH_AMERICA,Nike,"901 Market Street, Space 1095",Philadelphia,PA,19107,USA,2019-09-19,39.951675,-75.155324,Pennsylvania
219,NIKE_OWNED_STORE,18564779160,Nike Unite - Gloucester,NORTH_AMERICA,Nike,100 Premium Outlets Dr #140,Blackwood,NJ,08012-3863,USA,2015-08-03,39.784785,-75.053593,New Jersey
5,NIKE_OWNED_STORE,13022262950,Nike Factory Store - Rehoboth,NORTH_AMERICA,Nike,Tanger Outlet Center - Rehoboth Beach,Rehoboth,DE,19971-4203,USA,1998-05-17,38.71604,-75.11068,Delaware
472,NIKE_OWNED_STORE,18563343564,Nike Well Collective - Marlton,NORTH_AMERICA,Nike,500 Route 73 South,Marlton,NJ,08053-8000,USA,2022-11-17,39.879712,-74.919013,New Jersey
446,NIKE_OWNED_STORE,16094823616,Nike Unite - Princeton,NORTH_AMERICA,Nike,3357 Brunswick Pike  Suite 33,Lawrenceville,NJ,08648-0000,USA,2022-02-17,40.297796,-74.6837199,New Jersey
79,NIKE_OWNED_STORE,17328332202,Nike Factory Store - Jackson,NORTH_AMERICA,Nike,Jackson Premium Outlets,Jackson,NJ,08527-5368,USA,1999-04-03,40.16253,-74.419575,New Jersey
140,NIKE_OWNED_STORE,16093480573,Nike Factory Store - Atlantic City,NORTH_AMERICA,Nike,Tanger Outlet Center - The Walk,Atlantic City,NJ,08401-4112,USA,2007-03-20,39.358977,-74.438037,New Jersey
223,NIKE_OWNED_STORE,19733530350,Nike Factory Store - Newark,NORTH_AMERICA,Nike,The Shoppes at Broad,Newark,NJ,07102-4405,USA,2015-10-01,40.738198,-74.171088,New Jersey
59,NIKE_OWNED_STORE,18459288838,Nike Factory Store - Woodbury,NORTH_AMERICA,Nike,Woodbury Common Premium Outlets,Central Valley,NY,10917-6203,USA,1993-05-01,41.313621,-74.125649,New York
173,NIKE_OWNED_STORE,19086299171,Nike Factory Store - Jersey Gardens,NORTH_AMERICA,Nike,"651 Kapkowski Rd., Space 150",Elizabeth,NJ,07201-4929,USA,2001-11-09,40.660297,-74.170239,New Jersey
471,NIKE_OWNED_STORE,15512821443,Nike Well Collective - Woodcliff Lake,NORTH_AMERICA,Nike,415 Chestnut Ridge Road,Woodcliff Lake,NJ,07677-7679,USA,2022-10-06,41.0408287,-74.0754048,New Jersey
349,NIKE_OWNED_STORE,12018430932,Nike Factory Store - Paramus,NORTH_AMERICA,Nike,The Outlets at Bergen Town Center,Paramus,NJ,07652-5010,USA,2009-03-07,40.9154796,-74.0598406,New Jersey
258,NIKE_OWNED_STORE,13475351030,Nike Factory Store - Staten Island,NORTH_AMERICA,Nike,Empire Outlets,Staten Island,NY,10301-1986,USA,2019-05-15,40.643622,-74.075177,New York
118,NIKE_OWNED_STORE,17326950108,Nike Factory Store - Tinton Falls,NORTH_AMERICA,Nike,Tinton Falls Premium Outlets,Tinton Falls,NJ,07753-7479,USA,2008-11-13,40.222507,-74.095189,New Jersey
454,NIKE_OWNED_STORE,12014847667,Nike Well Collective - Hoboken,NORTH_AMERICA,Nike,222 WASHINGTON ST,Hoboken,NJ,07030-4709,USA,2023-01-26,40.7396178,-74.0306995,New Jersey
475,NIKE_OWNED_STORE,17322685057,Nike Well Collective - Shrewsbury,NORTH_AMERICA,Nike,601 Route 35,Shrewsbury,NJ,07702-4150,USA,2022-06-30,40.3313677,-74.061086,New Jersey
556,NIKE_OWNED_STORE,13322030526,Nike Well Collective - Battery Park,NORTH_AMERICA,Nike,"200 Vesey Street, Suite #118",New York,NY,10281-5524,USA,2023-05-25,40.7136293,-74.015026,New York
